date,Afghanistan,Albania,Algeria,American Samoa,Andorra,Angola,Antigua and Barbuda,Argentina,Armenia,Aruba,Australia,Austria,Azerbaijan,"Bahamas, The",Bahrain,Bangladesh,Barbados,Belarus,Belgium,Belize,Benin,Bermuda,Bhutan,Bolivia,Bosnia and Herzegovina,Botswana,Brazil,British Virgin Islands,Brunei Darussalam,Bulgaria,Burkina Faso,Burundi,Cabo Verde,Cambodia,Cameroon,Canada,Cayman Islands,Central African Republic,Chad,Channel Islands,Chile,China,Colombia,Comoros,"Congo, Dem. Rep.","Congo, Rep.",Costa Rica,Cote d'Ivoire,Croatia,Cuba,Curacao,Cyprus,Czechia,Denmark,Djibouti,Dominica,Dominican Republic,Ecuador,"Egypt, Arab Rep.",El Salvador,Equatorial Guinea,Eritrea,Estonia,Eswatini,Ethiopia,Faroe Islands,Fiji,Finland,France,French Polynesia,Gabon,"Gambia, The",Georgia,Germany,Ghana,Gibraltar,Greece,Greenland,Grenada,Guam,Guatemala,Guinea,Guinea-Bissau,Guyana,Haiti,Honduras,"Hong Kong SAR, China",Hungary,Iceland,India,Indonesia,"Iran, Islamic Rep.",Iraq,Ireland,Isle of Man,Israel,Italy,Jamaica,Japan,Jordan,Kazakhstan,Kenya,Kiribati,"Korea, Dem. People's Rep.","Korea, Rep.",Kosovo,Kuwait,Kyrgyz Republic,Lao PDR,Latvia,Lebanon,Lesotho,Liberia,Libya,Liechtenstein,Lithuania,Luxembourg,"Macao SAR, China",Madagascar,Malawi,Malaysia,Maldives,Mali,Malta,Marshall Islands,Mauritania,Mauritius,Mexico,"Micronesia, Fed. Sts.",Moldova,Monaco,Mongolia,Montenegro,Morocco,Mozambique,Myanmar,Namibia,Nauru,Nepal,Netherlands,New Caledonia,New Zealand,Nicaragua,Niger,Nigeria,North Macedonia,Northern Mariana Islands,Norway,Oman,Pakistan,Palau,Panama,Papua New Guinea,Paraguay,Peru,Philippines,Poland,Portugal,Puerto Rico,Qatar,Romania,Russian Federation,Rwanda,Samoa,San Marino,Sao Tome and Principe,Saudi Arabia,Senegal,Serbia,Seychelles,Sierra Leone,Singapore,Sint Maarten (Dutch part),Slovak Republic,Slovenia,Solomon Islands,Somalia,South Africa,South Sudan,Spain,Sri Lanka,St. Kitts and Nevis,St. Lucia,St. Martin (French part),St. Vincent and the Grenadines,Sudan,Suriname,Sweden,Switzerland,Syrian Arab Republic,Tajikistan,Tanzania,Thailand,Timor-Leste,Togo,Tonga,Trinidad and Tobago,Tunisia,Turkiye,Turkmenistan,Turks and Caicos Islands,Tuvalu,Uganda,Ukraine,United Arab Emirates,United Kingdom,United States,Uruguay,Uzbekistan,Vanuatu,"Venezuela, RB",Vietnam,Virgin Islands (U.S.),West Bank and Gaza,"Yemen, Rep.",Zambia,Zimbabwe
1995,,100.0,,,100.0,,96.643798828125,93.8344650268555,,100.0,100.0,100.0,,100.0,100.0,18.3380451202393,100.0,100.0,100.0,74.915397644043,,100.0,,64.0915298461914,100.0,16.1250171661377,91.728598,95.6902008056641,100.0,100.0,6.62533283233643,,,,36.1477737426758,100.0,100.0,3.0,,100.0,95.760383605957,,91.2,,,,,43.6312522888184,100.0,,100.0,100.0,100.0,100.0,,,84.7909088134766,89.830167,95.5,76.995504,,22.9,100.0,,,100.0,,100.0,100.0,100.0,,19.921443939209,,100.0,32.4504508972168,100.0,100.0,100.0,,100.0,60.8,,,71.3519821166992,31.3,66.122022,100.0,100.0,100.0,51.4087753295898,66.86,,,100.0,100.0,100.0,100.0,80.4382934570313,100.0,98.3285980224609,99.9,5.42734336853027,,,100.0,100.0,100.0,,25.0,100.0,,,,,100.0,100.0,100.0,100.0,11.0156345367432,2.47172713279724,,,,100.0,,,99.1798858642578,95.8944625854492,,100.0,100.0,,100.0,56.5,,,29.9521484375,99.2029571533203,,100.0,100.0,100.0,69.8499069213867,6.2,38.6872520446777,100.0,100.0,100.0,100.0,,97.3048400878906,76.6863403320313,,77.469114,67.3548355102539,69.1331176757813,100.0,100.0,100.0,100.0,100.0,100.0,,83.9886932373047,100.0,,100.0,28.8571910858154,100.0,92.1736526489258,,100.0,100.0,100.0,100.0,,,,,100.0,,93.1213836669922,,100.0,73.1609039306641,28.8697834014893,,100.0,100.0,,,4.26906728744507,,,,81.7884750366211,,88.7,,,92.5879440307617,,6.8,100.0,100.0,100.0,100.0,96.7197952270508,,12.9416437149048,99.0,,100.0,,43.1935119628906,15.6682720184326,31.948579788208
1996,,100.0,,,100.0,,96.8144836425781,94.1649398803711,,100.0,100.0,100.0,,100.0,100.0,21.1443862915039,100.0,100.0,100.0,75.8076934814453,14.5,100.0,,71.0,100.0,18.3627471923828,92.867095,95.9014739990234,100.0,100.0,7.1229362487793,,,,37.2933235168457,100.0,100.0,3.33491563796997,,100.0,95.617315,,93.3031005859375,28.9,,,,44.6482124328613,100.0,,100.0,100.0,100.0,100.0,62.0,,85.5548782348633,92.0513763427734,96.1543273925781,77.883,,24.7554473876953,100.0,,,100.0,66.9,100.0,100.0,100.0,,21.5901184082031,,100.0,34.5287704467773,100.0,100.0,100.0,,100.0,67.6799392700195,,,71.9872665405273,30.0130176544189,61.68112,100.0,100.0,100.0,53.0035209655762,72.39,,,100.0,100.0,100.0,100.0,85.706045,100.0,98.4419784545898,99.1921157836914,7.37853050231934,,,100.0,100.0,100.0,,31.2476997375488,100.0,,,,,100.0,100.0,100.0,100.0,11.4669008255005,2.92707347869873,,,6.2,100.0,,,99.2020950317383,96.093624,,100.0,100.0,,100.0,62.2745933532715,,,30.9689884185791,99.2382659912109,17.9,100.0,100.0,100.0,70.4432601928711,7.0,39.5453186035156,100.0,100.0,100.0,100.0,,97.4352722167969,77.4920425415039,11.0,86.2600555419922,67.0,70.2449569702148,100.0,100.0,100.0,100.0,100.0,100.0,,84.7669982910156,100.0,,100.0,30.5211772918701,100.0,92.552490234375,,100.0,100.0,100.0,100.0,,,57.6,,100.0,,93.4788360595703,,100.0,74.5052032470703,29.35231590271,,100.0,100.0,,,9.4,,,,82.5543670654297,,90.4,,,92.9663467407227,,2.81110429763794,100.0,100.0,100.0,100.0,95.9,99.6,14.7923612594604,98.484130859375,,100.0,,44.399169921875,17.3,32.3372955322266
1997,,100.0,,,100.0,,96.9817733764648,94.4920120239258,,100.0,100.0,100.0,,100.0,100.0,22.4,100.0,100.0,100.0,76.6965866088867,18.5896263122559,100.0,,67.330431,100.0,20.5970783233643,93.354139,96.1093368530273,100.0,100.0,7.61713981628418,,,,38.435474395752,100.0,100.0,3.83021020889282,2.3,100.0,96.2361679077148,,93.5889129638672,32.7624130249023,,,,45.6617698669434,100.0,,100.0,100.0,100.0,100.0,56.2944946289063,,86.3154449462891,92.429817199707,96.4024658203125,80.0315170288086,,25.8746109008789,100.0,,,100.0,71.7715148925781,100.0,100.0,100.0,,23.255392074585,,100.0,36.6036949157715,100.0,100.0,100.0,,100.0,68.9040756225586,,,72.6191558837891,30.5570373535156,64.794754,100.0,100.0,100.0,54.5948638916016,80.3,,,100.0,100.0,100.0,100.0,82.0294036865234,100.0,98.9,99.2694702148438,9.32631778717041,,,100.0,100.0,100.0,99.8,34.0638961791992,100.0,,,,,100.0,100.0,100.0,100.0,10.9,3.37902021408081,,,4.28854084014893,100.0,,,99.2208938598633,96.3295822143555,,100.0,100.0,,100.0,64.1026840209961,6.6,,31.9824295043945,99.2701797485352,18.1328678131104,100.0,100.0,100.0,71.0332107543945,6.23572778701782,40.3999824523926,100.0,100.0,100.0,100.0,,97.5623092651367,78.2943496704102,2.15848255157471,86.412854,69.16024,71.3533935546875,100.0,100.0,100.0,100.0,100.0,100.0,1.02783596515656,85.5419082641602,100.0,,100.0,32.2,100.0,92.0,,100.0,100.0,100.0,100.0,,,69.4833526611328,,100.0,,93.8328857421875,,100.0,75.8460922241211,29.8314571380615,,100.0,100.0,,,6.1970682144165,,,,83.3168563842773,,92.0,,,93.3413619995117,,3.94494771957397,100.0,100.0,100.0,100.0,97.0656509399414,99.3797454833984,16.6396789550781,98.7,78.4,100.0,97.9,42.6,17.1124591827393,32.7226104736328
1998,,100.0,,,100.0,,97.1449813842773,94.8150024414063,,100.0,100.0,100.0,,100.0,100.0,26.7461929321289,100.0,100.0,100.0,77.5814056396484,19.578254699707,100.0,,71.2,100.0,22.8273296356201,94.193812,96.3131256103516,100.0,100.0,8.10726451873779,3.9,,18.67,40.7,100.0,100.0,4.32142543792725,2.42038726806641,100.0,97.241124,,93.8706436157227,35.0945281982422,,,,46.6712455749512,100.0,,100.0,100.0,100.0,100.0,56.3222541809082,75.0,87.0719375610352,92.726642,96.6465225219727,81.637983,,26.9896945953369,100.0,,,100.0,73.0895843505859,100.0,100.0,100.0,,24.9165878295898,,100.0,42.6,100.0,100.0,100.0,85.04,100.0,70.1241302490234,,,73.246955871582,31.0969753265381,66.859519,100.0,100.0,100.0,56.1821327209473,80.94,,,100.0,100.0,100.0,100.0,82.8191757202148,100.0,98.6578521728516,99.3427505493164,14.5,,,100.0,100.0,100.0,99.553825378418,36.8760108947754,100.0,,,,,100.0,100.0,100.0,100.0,12.3585548400879,3.82688760757446,,,6.06686353683472,100.0,,,99.2356185913086,96.092755,,100.0,100.0,,100.0,65.9266891479492,3.66317558288574,,32.9917907714844,99.2980117797852,21.7325325012207,100.0,100.0,100.0,69.047103,6.7,41.2505683898926,100.0,100.0,100.0,100.0,70.46,97.6852645874023,79.0925750732422,4.29508972167969,87.7623672485352,72.072063,71.3,100.0,100.0,100.0,100.0,100.0,100.0,2.17412757873535,86.312744140625,100.0,,100.0,33.8382682800293,100.0,93.2992935180664,,100.0,100.0,100.0,100.0,,,64.9,,100.0,,94.182861328125,,100.0,77.1829071044922,30.3065280914307,,100.0,100.0,,,7.15528964996338,,,15.3,84.0752716064453,,93.2,,,93.712287902832,,5.07471179962158,100.0,100.0,100.0,100.0,97.2328033447266,99.449348449707,18.4829177856445,98.4,86.1759872436523,100.0,98.5392990112305,46.7996101379395,19.0,33.1038475036621
1999,,100.0,,,100.0,,97.303352355957,95.1331558227539,,100.0,100.0,100.0,97.0,100.0,100.0,29.5402145385742,100.0,100.0,100.0,78.4613800048828,20.5620422363281,100.0,,70.929888,100.0,25.0527400970459,94.76296,96.512077331543,100.0,100.0,6.9,2.07094931602478,,8.82003688812256,40.7067756652832,100.0,100.0,4.80779838562012,2.80621337890625,100.0,96.6955490112305,,94.1475296020508,37.421802520752,,,,48.2,100.0,,100.0,100.0,100.0,100.0,56.3451690673828,79.6219177246094,91.0,93.071434,96.8857345581055,79.129592,,28.0999355316162,100.0,,,100.0,74.4028167724609,100.0,100.0,100.0,,26.572940826416,,100.0,40.7405395507813,100.0,100.0,100.0,85.5294647216797,100.0,70.9,16.4,,73.8699188232422,31.6320724487305,67.394103,100.0,100.0,100.0,60.1,83.73,,,100.0,100.0,100.0,100.0,84.554112,100.0,98.7589111328125,97.0,13.2088918685913,,,100.0,100.0,100.0,99.5655822753906,39.6832847595215,100.0,,,,,100.0,100.0,100.0,100.0,12.7975006103516,4.26991271972656,,,7.84034395217896,100.0,68.5242358752702,,99.2455062866211,96.7482986450195,,100.0,100.0,,100.0,67.7458572387695,4.87912368774414,,33.9963111877441,99.3210067749023,25.3273544311523,100.0,100.0,100.0,72.2001266479492,7.32568216323853,44.9,100.0,100.0,100.0,100.0,70.2653503417969,97.8033752441406,79.8859558105469,6.42685508728027,88.518177,74.078523,71.8741709275167,100.0,100.0,100.0,100.0,100.0,100.0,3.31557703018188,87.078727722168,100.0,,100.0,36.2,100.0,93.6658096313477,,100.0,100.0,100.0,100.0,15.7,,71.331787109375,,100.0,,94.5279922485352,,100.0,78.5148773193359,30.7767562866211,99.62406,100.0,100.0,,97.0,8.0,,,16.0729999542236,84.8288421630859,,94.2,,,94.0783767700195,,6.19963407516479,100.0,100.0,100.0,100.0,97.3951110839844,99.5141143798828,19.1,98.9,86.9944381713867,100.0,98.6231536865234,47.9929466247559,18.5402450561523,38.4
2000,1.61359095573425,100.0,98.9730987548828,,100.0,24.2127437591553,97.6892623901367,95.7832870483398,98.9000015258789,91.660400390625,100.0,100.0,98.9082260131836,100.0,100.0,32.0,100.0,100.0,100.0,79.0,21.5310840606689,100.0,31.1499996185303,69.9630432128906,100.0,26.4089794158936,94.391716003418,97.4126968383789,100.0,100.0,9.07501983642578,2.46323680877686,58.4223289489746,16.6000003814697,41.0,100.0,100.0,6.0,3.17988133430481,100.0,97.9386901855469,97.0217971801758,95.1999969482422,39.7153549194336,6.69999980926514,29.090015411377,96.9400024414063,48.6894683837891,100.0,97.0,100.0,100.0,100.0,100.0,56.3799514770508,80.9518127441406,88.7649307250977,93.7322616577148,97.6999969482422,84.5192489624023,65.5595626831055,29.2545108795166,100.0,20.1957626342773,12.6999998092651,100.0,75.7249221801758,100.0,100.0,100.0,73.5999984741211,34.2999992370605,99.8118133544922,100.0,43.7000007629395,100.0,100.0,100.0,86.0422286987305,100.0,73.3182067871094,15.1462574005127,,74.5172805786133,33.7000007629395,67.3833541870117,100.0,100.0,100.0,58.7214736938477,86.3000030517578,97.9000015258789,96.9216766357422,100.0,100.0,100.0,100.0,84.3941345214844,100.0,98.9342727661133,99.5095596313477,15.1311712265015,55.1248970031738,,100.0,,100.0,99.6102447509766,42.4961395263672,100.0,99.3515930175781,4.25875997543335,,99.8000030517578,100.0,100.0,100.0,100.0,12.7241897583008,4.80000019073486,99.1039733886719,83.8000030517578,9.59319972991943,100.0,68.4779739379883,18.7461318969727,99.0,98.0071334838867,46.0,100.0,100.0,67.3000030517578,100.0,69.5673828125,6.09631109237671,41.8337898254395,36.5,99.4370880126953,29.0462665557861,100.0,100.0,100.0,72.7815704345703,6.48148155212402,43.1214599609375,100.0,100.0,100.0,100.0,70.3106002807617,98.1689987182617,81.4014129638672,7.57701396942139,89.421142578125,72.4964981079102,74.6616897583008,100.0,100.0,100.0,100.0,100.0,100.0,6.19999980926514,87.8578262329102,100.0,52.9000015258789,100.0,37.7400016784668,100.0,94.0893402099609,7.78814268112183,100.0,100.0,100.0,100.0,4.51702928543091,1.89250123500824,72.2824630737305,,100.0,70.2628021240234,95.2815399169922,89.3874359130859,100.0,79.8817749023438,23.0,95.4943771362305,100.0,100.0,93.4835891723633,98.4677429199219,8.91672611236572,82.0999984741211,17.5928115844727,16.9562339782715,85.5786285400391,91.2900009155273,94.8000030517578,100.0,99.5999984741211,95.5999984741211,94.6306762695313,7.35113048553467,100.0,100.0,100.0,100.0,97.6768646240234,99.5932693481445,22.1430797576904,98.9000015258789,87.8284149169922,100.0,99.6999969482422,49.187255859375,16.7000007629395,33.6548881530762
2001,4.07457399368286,100.0,98.9668731689453,,100.0,20.0,97.7852554321289,95.5110626220703,100.0,100.0,100.0,100.0,98.6218032836914,100.0,100.0,35.0326461791992,100.0,100.0,100.0,80.1969604492188,21.8999996185303,100.0,40.0451316833496,69.2585372924805,99.4000015258789,24.7999992370605,96.0165252685547,97.5228271484375,100.0,100.0,9.52135181427002,2.79742002487183,60.1615180969238,14.6247777938843,46.2000007629395,100.0,100.0,5.7360520362854,3.5271143913269,100.0,97.1158065795898,97.2727890014648,98.4700012207031,42.0186653137207,7.31436443328857,30.063591003418,98.2497787475586,49.6558570861816,100.0,96.2262573242188,100.0,100.0,100.0,100.0,56.3651428222656,82.2792129516602,89.7913589477539,94.0246200561523,97.3440780639648,87.0638275146484,65.5711898803711,30.3525619506836,100.0,26.8999996185303,10.1624908447266,100.0,77.0006790161133,100.0,100.0,100.0,77.1408004760742,29.8700199127197,99.8053283691406,100.0,44.8375129699707,100.0,100.0,100.0,86.3716583251953,100.0,73.7327270507813,16.4323844909668,,75.1007385253906,31.5423812866211,64.1999969482422,100.0,100.0,100.0,55.7999992370605,86.2600021362305,98.1293029785156,97.0627975463867,100.0,100.0,100.0,100.0,87.7081146240234,100.0,98.9780654907227,99.6500015258789,17.0330848693848,56.9190254211426,,100.0,,100.0,99.5810089111328,45.2667083740234,100.0,99.346565246582,1.25226926803589,,97.1470565795898,100.0,100.0,100.0,100.0,14.8000001907349,5.13952016830444,99.1256713867188,87.4862899780273,10.8000001907349,100.0,69.9643249511719,22.2000007629395,99.2647247314453,97.1383209228516,48.3374671936035,100.0,100.0,71.0765762329102,100.0,71.347900390625,5.69999980926514,42.9418983459473,35.9668617248535,99.4156341552734,24.6000003814697,100.0,100.0,100.0,72.2215805053711,8.36194133758545,43.880672454834,100.0,100.0,100.0,100.0,70.3615341186523,98.2285537719727,81.4562530517578,9.88218402862549,91.0420684814453,72.1131134033203,75.7229461669922,100.0,100.0,100.0,100.0,100.0,100.0,4.57231616973877,88.5846481323242,100.0,51.4911727905273,100.0,38.7576179504395,100.0,94.4017639160156,8.55077075958252,100.0,100.0,100.0,100.0,7.47523641586304,4.50461578369141,70.1999969482422,,100.0,63.5999984741211,93.5299987792969,89.9000015258789,100.0,82.4100036621094,29.2552261352539,95.3973846435547,100.0,100.0,93.2186508178711,98.6331024169922,9.861008644104,90.4513778686523,25.6000003814697,19.6003665924072,86.2936248779297,96.9320220947266,97.3000030517578,100.0,99.7351837158203,94.870361328125,94.835823059082,8.60000038146973,100.0,100.0,100.0,100.0,97.7853927612305,99.6301040649414,23.9438800811768,99.9000015258789,88.6074752807617,100.0,99.0999984741211,50.3412399291992,20.1723861694336,34.1728439331055
2002,9.40915775299072,100.0,98.9530563354492,,100.0,26.3521175384521,100.0,96.2288665771484,98.0,100.0,100.0,100.0,100.0,100.0,100.0,37.8510704040527,100.0,100.0,100.0,81.0294189453125,23.4159278869629,100.0,43.9788780212402,63.9968566894531,98.5,27.0,96.6529922485352,97.6253662109375,100.0,100.0,9.96009922027588,3.12401843070984,58.5999984741211,18.1870994567871,44.0404014587402,100.0,100.0,6.17705392837524,3.86676287651062,100.0,97.2836837768555,97.5162048339844,94.9055023193359,44.7999992370605,7.91584491729736,31.0295829772949,98.5091857910156,51.4000015258789,100.0,95.5,100.0,100.0,100.0,100.0,49.7000007629395,87.6999969482422,89.7498168945313,94.3093872070313,97.5361785888672,87.5490570068359,65.5752334594727,32.2000007629395,100.0,25.8086700439453,11.8548336029053,100.0,79.629997253418,100.0,100.0,100.0,77.8424377441406,31.5175647735596,99.9000015258789,100.0,46.8580703735352,100.0,100.0,100.0,86.6935119628906,100.0,78.667839050293,17.7109260559082,1.25370573997498,75.6766128540039,33.152473449707,63.1411361694336,100.0,100.0,100.0,62.2999992370605,87.5999984741211,98.2332763671875,97.1963348388672,100.0,100.0,100.0,100.0,86.6812896728516,100.0,99.5,99.8099975585938,18.9274139404297,58.70556640625,,100.0,,100.0,100.0,46.2999992370605,100.0,99.3339538574219,3.36165857315063,,95.4233703613281,100.0,100.0,100.0,100.0,14.0465755462646,5.53415966033936,99.1397857666016,88.3574981689453,13.0597648620605,100.0,71.4430923461914,21.5032196044922,99.4000015258789,97.897087097168,50.1000328063965,99.0,100.0,72.2844696044922,100.0,73.1208343505859,8.44392108917236,47.0,36.9254760742188,99.386589050293,35.8874092102051,100.0,100.0,100.0,73.8582916259766,8.85894775390625,44.6323013305664,100.0,99.9876327514648,100.0,100.0,70.4048767089844,98.280517578125,82.2009201049805,12.1797695159912,91.6664428710938,74.3826904296875,76.7766189575195,100.0,100.0,100.0,100.0,100.0,100.0,5.93285799026489,89.3038787841797,100.0,52.5872421264648,100.0,36.7999992370605,100.0,96.0999984741211,9.30581474304199,100.0,100.0,100.0,100.0,10.4258584976196,7.40000009536743,76.6999969482422,,100.0,80.6999969482422,95.8031845092773,90.3582916259766,100.0,82.4681243896484,29.5256023406982,95.2928161621094,100.0,100.0,86.5999984741211,99.0,10.7977066040039,91.0802230834961,23.9636135101318,21.3528614044189,87.0010375976563,97.1231460571289,97.8000030517578,100.0,99.7191925048828,95.1637191772461,94.6297836303711,7.80000019073486,100.0,100.0,100.0,100.0,97.8863296508789,99.6999969482422,25.7370986938477,99.8000030517578,89.0999984741211,100.0,99.2368545532227,51.4876365661621,17.3999996185303,34.2000007629395
2003,14.7385063171387,100.0,98.9340133666992,,100.0,27.4127769470215,97.9568252563477,96.4426345825195,99.1901321411133,100.0,100.0,100.0,98.9274673461914,100.0,100.0,40.6642608642578,100.0,100.0,100.0,81.8566360473633,24.3493232727051,100.0,41.0999984741211,72.3000030517578,100.0,33.0831069946289,96.980094909668,97.7226715087891,100.0,100.0,11.3999996185303,3.44538164138794,63.619499206543,19.2999992370605,45.1230125427246,100.0,100.0,6.61282014846802,4.20117616653442,100.0,98.7823257446289,97.7543792724609,95.1293487548828,46.6048812866211,8.51208972930908,31.9903373718262,98.6958999633789,51.5682334899902,100.0,96.5130310058594,100.0,100.0,100.0,100.0,56.3151168823242,84.9136199951172,89.1738052368164,94.9730453491211,98.8000030517578,86.9611511230469,65.5740432739258,32.5282592773438,100.0,28.6060962677002,13.5419406890869,100.0,80.0,100.0,100.0,100.0,78.5388412475586,27.7999992370605,100.0,100.0,48.2999992370605,100.0,100.0,100.0,87.010124206543,100.0,78.51220703125,18.9842319488525,2.59146237373352,76.2472534179688,31.6000003814697,65.090461730957,100.0,100.0,100.0,64.0474853515625,87.9400024414063,98.3320236206055,97.3246307373047,100.0,100.0,100.0,100.0,86.6085662841797,100.0,99.0452499389648,99.9199981689453,16.0,60.4868774414063,,100.0,,100.0,99.5021209716797,48.0,100.0,99.3161087036133,5.46581268310547,,93.6944427490234,100.0,100.0,100.0,100.0,20.2999992370605,6.19999980926514,99.1486587524414,89.2234649658203,14.7840194702148,100.0,72.9166259765625,22.8727340698242,99.1855163574219,97.4008560180664,51.857364654541,100.0,100.0,76.3000030517578,100.0,74.8885269165039,8.10000038146973,45.1377143859863,37.8788528442383,99.3523178100586,39.2989501953125,100.0,100.0,100.0,74.3876266479492,9.3507194519043,52.2000007629395,100.0,99.9618988037109,100.0,100.0,70.4429931640625,98.3272476196289,87.8000030517578,14.4721202850342,92.5583953857422,74.3809661865234,76.5999984741211,100.0,100.0,100.0,100.0,100.0,100.0,7.2881646156311,90.0178833007813,100.0,53.6780776977539,100.0,41.9641342163086,100.0,95.0061950683594,10.0556230545044,100.0,100.0,100.0,100.0,13.3712463378906,9.70844078063965,78.8000030517578,,100.0,74.9988174438477,96.0549850463867,90.8346939086914,100.0,83.7522735595703,29.7905673980713,95.1830062866211,100.0,100.0,92.6683578491211,100.0,11.1000003814697,91.7038269042969,27.7000007629395,23.100118637085,87.7032165527344,97.3090209960938,98.4000015258789,100.0,99.6979675292969,95.4518432617188,95.225715637207,10.5635538101196,100.0,100.0,100.0,100.0,97.9820404052734,99.6833648681641,27.5250797271729,95.6999969482422,90.1451950073242,100.0,99.0999984741211,52.6288032531738,18.5,35.1883506774902
2004,20.0649681091309,100.0,98.9120788574219,,100.0,28.4705505371094,98.0371017456055,96.6535034179688,99.1892318725586,100.0,100.0,100.0,99.0747985839844,100.0,100.0,40.5999984741211,99.9967422485352,100.0,100.0,82.6809768676758,25.2798328399658,100.0,51.8330116271973,75.9453048706055,100.0,35.2989120483398,96.7651062011719,97.8170928955078,100.0,100.0,10.8242387771606,3.76385879516602,65.3429870605469,25.2983837127686,47.0999984741211,100.0,100.0,7.04570055007935,3.5,100.0,97.606086730957,97.9896697998047,95.3503112792969,48.8924865722656,9.10544872283936,32.9482078552246,98.9547805786133,52.5189170837402,100.0,96.6509094238281,100.0,100.0,100.0,100.0,56.2845993041992,86.2253112792969,90.3165664672852,94.8655700683594,97.9070281982422,87.357048034668,65.5699691772461,33.6106033325195,100.0,31.4006366729736,15.2261619567871,100.0,80.7918395996094,100.0,100.0,100.0,79.2323532104492,34.7993011474609,99.9300003051758,100.0,50.8858299255371,100.0,100.0,100.0,87.323844909668,100.0,77.2282409667969,20.2546520233154,3.92633271217346,76.8150100708008,34.1108131408691,67.113525390625,100.0,100.0,100.0,64.4000015258789,89.0100021362305,98.4278793334961,97.4500427246094,100.0,100.0,100.0,100.0,87.3378067016602,100.0,99.1734390258789,99.9599990844727,22.7027149200439,62.2652969360352,,100.0,,100.0,99.4571838378906,53.542308807373,100.0,99.9000015258789,6.80000019073486,,91.9626388549805,100.0,100.0,100.0,100.0,15.3480186462402,6.90000009536743,99.154655456543,90.0865478515625,16.5053882598877,100.0,74.3872756958008,24.2393646240234,99.1404113769531,98.5977020263672,53.6118087768555,99.0999984741211,100.0,74.6868896484375,100.0,78.1999969482422,10.7705898284912,46.2301177978516,38.8293418884277,99.3151550292969,37.2000007629395,100.0,100.0,100.0,74.9140777587891,9.8396053314209,46.122200012207,99.4199981689453,99.9228057861328,100.0,100.0,70.4782180786133,98.37109375,83.6769027709961,16.7615833282471,93.2498779296875,75.6923599243164,87.5999984741211,100.0,100.0,100.0,100.0,100.0,100.0,8.64058494567871,90.7289962768555,100.0,54.7660217285156,100.0,36.7999992370605,100.0,95.3029098510742,16.7999992370605,100.0,100.0,100.0,100.0,16.3137474060059,12.3048496246338,80.9000015258789,,100.0,76.5685806274414,96.3038940429688,91.3082122802734,100.0,85.0335311889648,30.0523929595947,95.0703125,100.0,100.0,92.3877105712891,98.6270904541016,11.3999996185303,92.3245468139648,30.3134727478027,24.8444919586182,88.4025115966797,97.4920196533203,99.0,99.9979934692383,99.6738510131836,95.7370758056641,95.4151611328125,11.6254568099976,100.0,100.0,100.0,100.0,98.0748596191406,99.7044982910156,29.3101749420166,99.0999984741211,90.9085464477539,100.0,99.5,49.5900001525879,20.2999992370605,35.690601348877
