date,Afghanistan,Albania,Algeria,American Samoa,Andorra,Angola,Antigua and Barbuda,Argentina,Armenia,Aruba,Australia,Austria,Azerbaijan,"Bahamas, The",Bahrain,Bangladesh,Barbados,Belarus,Belgium,Belize,Benin,Bermuda,Bhutan,Bolivia,Bosnia and Herzegovina,Botswana,Brazil,British Virgin Islands,Brunei Darussalam,Bulgaria,Burkina Faso,Burundi,Cabo Verde,Cambodia,Cameroon,Canada,Cayman Islands,Central African Republic,Chad,Channel Islands,Chile,China,Colombia,Comoros,"Congo, Dem. Rep.","Congo, Rep.",Costa Rica,Cote d'Ivoire,Croatia,Cuba,Curacao,Cyprus,Czechia,Denmark,Djibouti,Dominica,Dominican Republic,Ecuador,"Egypt, Arab Rep.",El Salvador,Equatorial Guinea,Eritrea,Estonia,Eswatini,Ethiopia,Faroe Islands,Fiji,Finland,France,French Polynesia,Gabon,"Gambia, The",Georgia,Germany,Ghana,Gibraltar,Greece,Greenland,Grenada,Guam,Guatemala,Guinea,Guinea-Bissau,Guyana,Haiti,Honduras,"Hong Kong SAR, China",Hungary,Iceland,India,Indonesia,"Iran, Islamic Rep.",Iraq,Ireland,Isle of Man,Israel,Italy,Jamaica,Japan,Jordan,Kazakhstan,Kenya,Kiribati,"Korea, Dem. People's Rep.","Korea, Rep.",Kosovo,Kuwait,Kyrgyz Republic,Lao PDR,Latvia,Lebanon,Lesotho,Liberia,Libya,Liechtenstein,Lithuania,Luxembourg,"Macao SAR, China",Madagascar,Malawi,Malaysia,Maldives,Mali,Malta,Marshall Islands,Mauritania,Mauritius,Mexico,"Micronesia, Fed. Sts.",Moldova,Monaco,Mongolia,Montenegro,Morocco,Mozambique,Myanmar,Namibia,Nauru,Nepal,Netherlands,New Caledonia,New Zealand,Nicaragua,Niger,Nigeria,North Macedonia,Northern Mariana Islands,Norway,Oman,Pakistan,Palau,Panama,Papua New Guinea,Paraguay,Peru,Philippines,Poland,Portugal,Puerto Rico,Qatar,Romania,Russian Federation,Rwanda,Samoa,San Marino,Sao Tome and Principe,Saudi Arabia,Senegal,Serbia,Seychelles,Sierra Leone,Singapore,Sint Maarten (Dutch part),Slovak Republic,Slovenia,Solomon Islands,Somalia,South Africa,South Sudan,Spain,Sri Lanka,St. Kitts and Nevis,St. Lucia,St. Martin (French part),St. Vincent and the Grenadines,Sudan,Suriname,Sweden,Switzerland,Syrian Arab Republic,Tajikistan,Tanzania,Thailand,Timor-Leste,Togo,Tonga,Trinidad and Tobago,Tunisia,Turkiye,Turkmenistan,Turks and Caicos Islands,Tuvalu,Uganda,Ukraine,United Arab Emirates,United Kingdom,United States,Uruguay,Uzbekistan,Vanuatu,"Venezuela, RB",Vietnam,Virgin Islands (U.S.),West Bank and Gaza,"Yemen, Rep.",Zambia,Zimbabwe
1995,377530.0,11270.0,396490.0,43.4,230.0,461843.05,90.0,1280450.0,12440.0,20.0,4633880.0,29811.0,44891.0,120.0,90.0,93740.0,190.0,93390.0,14950.0,1460.0,25200.0,4.0,5650.0,366000.0,21750.0,259460.0,2278050.0,80.0,100.0,61640.0,94500.0,20370.0,700.0,45700.0,91600.0,612610.0,27.0,50100.0,484500.0,,153300.0,5237140.0,445130.0,1220.0,258000.0,105200.0,20480.0,198000.0,23320.0,66840.0,,1431.0,42800.0,27260.0,14510.0,170.0,25760.0,81080.0,32830.0,13756.2,2228.5,74070.0,9910.0,12220.0,305000.0,965.24,4008.0,22440.0,301502.0,430.0,20361.9,5570.0,30480.0,173430.0,131000.0,,91640.0,2383.0,110.0,200.0,45120.0,140240.0,6208.95,11018.15,15900.0,34800.0,80.0,61790.0,18990.0,1809450.0,429780.0,642080.0,91000.0,43890.0,417.0,5730.0,153330.0,4970.0,54430.0,11140.0,2171865.0,272180.0,370.0,26500.0,20480.0,,1420.0,105370.0,17000.0,18320.0,6090.0,23240.0,12580.6,155150.0,70.0,34100.0,,,364800.0,42800.0,69660.0,80.0,354190.0,110.0,120.0,397600.0,1040.0,1061950.0,225.0,25560.0,,1184690.0,5150.0,307490.0,363550.0,104500.0,388200.0,4.0,41918.0,19640.0,2330.0,149750.0,45530.0,360000.0,653674.35,12870.0,40.0,11270.0,10710.0,360260.0,43.0,21320.0,9340.0,146701.4,224968.0,110150.0,186220.0,39240.0,3090.0,650.0,147970.0,2164000.0,14850.0,510.0,10.0,450.0,1447850.0,88150.0,35370.0,40.0,28100.0,12.0,,24460.0,5380.0,730.0,440560.0,975200.0,,297190.0,23260.0,100.0,180.0,,87.8,1296440.0,890.0,32670.0,15821.0,137890.0,45820.0,330499.9,212100.0,3400.0,32700.0,330.0,760.0,93480.0,394930.0,355000.0,10.0,20.0,121220.0,418530.0,3830.0,173790.0,4201390.0,149380.0,276430.0,1650.0,216200.0,70790.0,80.0,5030.0,237360.0,214580.0,138600.0
1996,377520.0,11310.0,396360.0,46.6,230.0,463397.22,90.0,1281420.0,13060.0,20.0,4652300.0,29733.0,45262.0,120.0,90.0,93270.0,190.0,93330.0,15010.0,1470.0,27100.0,4.0,5700.0,366840.0,21700.0,259460.0,2279087.0,80.0,100.0,61640.0,95500.0,19930.0,700.0,45800.0,91600.0,611920.0,27.0,50220.0,484300.0,,152320.0,5237520.0,449200.0,1240.0,258000.0,105220.0,19950.0,198000.0,19350.0,66150.0,,1432.0,42800.0,27160.0,14810.0,170.0,25750.0,79870.0,31764.6,13880.0,2208.5,73380.0,10050.0,12220.0,305000.0,965.01,3950.0,22180.0,300963.0,430.0,20423.52,5570.0,30350.0,173370.0,133000.0,,91720.0,2386.0,110.0,200.0,45120.0,140350.0,6293.4,11056.08,15900.0,34800.0,80.0,61840.0,18970.0,1805890.0,429680.0,644270.0,91000.0,43410.0,421.0,5640.0,153490.0,4940.0,53990.0,10510.0,2154736.0,264510.0,370.0,25500.0,20080.0,,1430.0,106410.0,17000.0,18740.0,6180.0,23260.0,12883.2,156660.0,70.0,34110.0,,,365960.0,43800.0,69611.0,80.0,366500.0,110.0,120.0,397500.0,1030.0,1063100.0,225.0,25560.0,,1184690.0,5150.0,309660.0,365740.0,105040.0,388200.0,4.0,42030.0,19810.0,2350.0,149040.0,46540.0,360000.0,655307.4,12900.0,40.0,11320.0,10710.0,361720.0,43.0,21320.0,9550.0,146701.4,226437.0,111050.0,184740.0,37300.0,3090.0,660.0,147820.0,2161110.0,15450.0,510.0,10.0,450.0,1517850.0,89070.0,35370.0,40.0,28100.0,12.0,,24440.0,5250.0,730.0,440610.0,978900.0,,301390.0,23270.0,90.0,174.0,,84.2,1305390.0,890.0,32970.0,15788.0,137900.0,45850.0,334219.9,208630.0,3420.0,32900.0,330.0,760.0,93240.0,393640.0,355000.0,10.0,20.0,121720.0,418400.0,3870.0,174940.0,4163060.0,149410.0,276400.0,1670.0,216320.0,76820.0,80.0,4990.0,237550.0,218650.0,142350.0
1997,377900.0,11350.0,396900.0,49.9,230.0,464951.39,90.0,1282350.0,13320.0,20.0,4622330.0,29646.0,45887.0,120.0,90.0,93650.0,190.0,93060.0,15100.0,1480.0,28900.0,4.0,5720.0,368740.0,21650.0,259010.0,2280124.0,80.0,100.0,62030.0,98500.0,19520.0,720.0,45800.0,91600.0,612150.0,27.0,51230.0,486300.0,,152220.0,5237442.5,450820.0,1260.0,257000.0,105360.0,19530.0,197000.0,19410.0,66870.0,,1422.0,42800.0,26880.0,15010.0,170.0,25000.0,80120.0,32449.2,13846.2,2188.5,73600.0,10230.0,12230.0,304920.0,965.01,3892.0,21500.0,300396.0,430.0,20485.14,5570.0,30370.0,173270.0,136280.0,,89850.0,2389.0,110.0,200.0,45744.3,140360.0,6377.85,11094.01,16900.0,33950.0,70.0,61950.0,18950.0,1809810.0,435270.0,638320.0,86600.0,44310.0,425.0,5630.0,153450.0,4890.0,53540.0,10610.0,2156918.0,265940.0,370.0,25500.0,19830.0,,1430.0,106610.0,17560.0,17720.0,6220.0,23290.0,13185.8,156660.0,70.0,34170.0,,,374900.0,44300.0,69587.0,80.0,376500.0,100.0,120.0,397500.0,1020.0,1063100.0,225.0,25560.0,,1288910.0,5150.0,308950.0,367930.0,105190.0,388200.0,4.0,42142.0,19660.0,2380.0,149030.0,48080.0,360000.0,656940.45,12830.0,40.0,10380.0,10700.0,366690.0,43.0,21400.0,9620.0,146701.4,227906.0,113350.0,184570.0,35820.0,2910.0,660.0,147980.0,2179890.0,15950.0,510.0,10.0,460.0,1587850.0,86280.0,35370.0,40.0,28090.0,12.0,,24450.0,4950.0,730.0,440660.0,979450.0,,300590.0,23280.0,90.0,170.0,,80.6,1308320.0,880.0,32590.0,15757.0,138040.0,45620.0,337030.0,204420.0,3430.0,33300.0,310.0,710.0,93470.0,392420.0,355000.0,10.0,20.0,121720.0,418540.0,3950.0,175850.0,4148850.0,149450.0,276370.0,1680.0,216360.0,78440.0,80.0,4970.0,237200.0,219710.0,144190.0
1998,378670.0,11390.0,398260.0,53.5,230.0,466505.56,90.0,1283300.0,13280.0,20.0,4638810.0,29599.0,46821.0,120.0,90.0,94340.0,190.0,93070.0,15180.0,1480.0,30500.0,4.0,5720.0,369820.0,21600.0,258310.0,2281161.0,80.0,100.0,56450.0,99700.0,19130.0,720.0,46300.0,91600.0,612390.0,27.0,51490.0,486300.0,,152190.0,5237385.0,455430.0,1300.0,257000.0,105380.0,19150.0,197000.0,20480.0,66740.0,,1442.0,42840.0,26720.0,15010.0,170.0,25100.0,80270.0,32596.2,13891.2,2168.5,74670.0,10430.0,12230.0,305080.0,964.93,3834.0,21920.0,299800.0,430.0,20546.76,5520.0,30450.0,173730.0,132866.6,,87820.0,2392.0,110.0,200.0,46368.6,140670.0,6462.3,11131.94,16900.0,33950.0,70.0,61930.0,18910.0,1808740.0,438770.0,647870.0,89000.0,44160.0,430.0,5620.0,154840.0,4840.0,53100.0,10660.0,2153298.0,264580.0,340.0,25500.0,19690.0,,1430.0,106900.0,17650.0,17490.0,6260.0,23290.0,13488.4,154500.0,70.0,34250.0,,,384900.0,45800.0,69447.0,80.0,376500.0,90.0,120.0,397500.0,1020.0,1063250.0,225.0,25560.0,,1291320.0,5150.0,309760.0,370120.0,105130.0,388200.0,4.0,42254.0,19730.0,2400.0,149030.0,49130.0,360000.0,658573.5,12910.0,30.0,10470.0,10710.0,367600.0,43.0,21490.0,9740.0,149211.4,229375.0,112850.0,184430.0,37225.0,2725.0,660.0,147470.0,2172870.0,16150.0,510.0,10.0,460.0,1667850.0,83900.0,35370.0,40.0,28090.0,12.0,,24430.0,4900.0,740.0,440670.0,979880.0,,299580.0,23290.0,90.0,155.0,,77.0,1311020.0,880.0,32310.0,15723.0,137540.0,45470.0,338000.0,200520.0,3410.0,33500.0,310.0,660.0,94200.0,399190.0,355000.0,10.0,20.0,122420.0,416110.0,3980.0,175180.0,4145880.0,149500.0,273340.0,1720.0,216420.0,80550.0,80.0,4760.0,236800.0,220250.0,145200.0
1999,377530.0,11450.0,397310.0,60.2,230.0,468059.73,90.0,1284120.0,13230.0,20.0,4536930.0,29552.0,46924.0,120.0,100.0,94860.0,180.0,92810.0,15210.0,1500.0,31100.0,4.0,5720.0,370690.0,21050.0,258410.0,2282198.0,70.0,100.0,56790.0,99700.0,18870.0,710.0,46400.0,91600.0,612630.0,27.0,51490.0,486300.0,,150600.0,5237347.5,456680.0,1320.0,256000.0,105440.0,18880.0,196000.0,20320.0,66600.0,,1442.0,42820.0,26440.0,15510.0,190.0,24670.0,80750.0,34830.0,14810.0,2148.5,74670.0,10010.0,12230.0,306760.0,964.93,3776.0,22014.0,299291.0,430.0,20608.38,5520.0,29990.0,171520.0,132406.25,,86700.0,2395.0,120.0,200.0,46992.9,140780.0,6546.75,11169.87,16900.0,33370.0,70.0,61860.0,18890.0,1810210.0,458770.0,636870.0,87500.0,44180.0,434.0,5590.0,157990.0,4820.0,52710.0,10670.0,2150753.0,268760.0,340.0,25500.0,19540.0,,1440.0,107260.0,17730.0,16170.0,5825.0,23290.0,13791.0,154500.0,70.0,34960.0,,,395000.0,46800.0,69471.0,80.0,376500.0,90.0,120.0,397500.0,1000.0,1063260.0,225.0,25570.0,,1302820.0,5150.0,306930.0,372310.0,106090.0,388200.0,4.0,42366.0,19670.0,2430.0,149030.0,50180.0,370000.0,660206.55,12820.0,30.0,10380.0,10710.0,367560.0,43.0,21570.0,9930.0,150221.4,230844.0,112350.0,184350.0,38630.0,2599.0,660.0,147810.0,2167900.0,16610.0,508.0,10.0,470.0,1737850.0,91120.0,35370.0,40.0,28040.0,12.0,,24430.0,5000.0,760.0,440670.0,980580.0,,297780.0,23450.0,100.0,154.0,,73.4,1313520.0,880.0,31940.0,15691.0,137670.0,45680.0,339000.0,200170.0,3370.0,33700.0,310.0,670.0,95260.0,403020.0,355400.0,10.0,20.0,122620.0,414530.0,5160.0,172190.0,4138870.0,149540.0,273310.0,1730.0,216330.0,84130.0,70.0,4910.0,236680.0,224050.0,148400.0
2000,377530.0,11440.0,400210.0,59.7,230.0,469613.9,90.0,1285100.0,13230.0,20.0,4554690.0,29402.0,47404.0,130.0,92.0,94000.0,180.0,92520.0,13896.0,1490.0,31950.0,4.0,5780.0,371430.0,21300.0,259510.0,2283235.0,70.0,100.0,55820.0,97700.0,18670.0,710.0,47700.0,91600.0,612870.0,27.0,51490.0,486300.0,,151100.0,5237310.0,448590.0,1330.0,256000.0,105400.0,18400.0,196000.0,11690.0,65540.0,,1415.0,42800.0,26470.0,16010.0,210.0,25150.0,80660.0,32910.0,13752.2,2128.5,75300.0,9860.0,12230.0,306620.0,964.93,3718.0,22180.0,298074.0,430.0,20670.0,5520.0,30000.0,170680.0,130945.9,,85290.0,2398.0,120.0,200.0,47617.2,140790.0,6631.2,11207.8,16900.0,29350.0,70.0,58540.0,18890.0,1809750.0,471770.0,628840.0,83000.0,44120.0,438.0,5660.0,156370.0,4790.0,52580.0,10690.0,2153933.0,266710.0,340.0,25500.0,19730.0,,1480.0,107140.0,18060.0,15880.0,5950.0,23340.0,14093.6,154500.0,70.0,34180.0,1280.0,,405000.0,47300.0,69387.0,90.0,386000.0,90.0,120.0,397500.0,1010.0,1063300.0,225.0,25440.0,,1304700.0,5150.0,306520.0,374500.0,108120.0,388200.0,4.0,42491.0,19581.0,2450.0,154130.0,51410.0,370000.0,661839.6,12350.0,30.0,10420.0,11730.0,366980.0,43.0,22300.0,10050.0,150951.4,232313.0,112340.0,184130.0,39563.8,2472.0,660.0,148570.0,2171620.0,16700.0,480.0,10.0,490.0,1737850.0,90270.0,35370.0,40.0,28100.0,12.0,,24400.0,5180.0,760.0,440670.0,981250.0,,297660.0,23500.0,95.0,142.0,,70.0,1315750.0,880.0,29741.0,15660.0,137110.0,45730.0,340000.0,198340.0,3370.0,34000.0,300.0,670.0,95510.0,404790.0,355000.0,10.0,20.0,125120.0,414060.0,5470.0,169640.0,4143990.0,149580.0,273280.0,1750.0,216350.0,87800.0,70.0,4990.0,236690.0,224980.0,150600.0
2001,377530.0,11390.0,401090.0,59.2,227.5,475164.51,90.0,1286060.0,13280.0,20.0,4557000.0,29161.0,47456.0,130.0,92.0,94030.0,180.0,91280.0,13868.0,1490.0,32650.0,4.0,5790.0,371560.0,21260.0,258010.0,2284272.0,70.0,110.0,54980.0,105700.0,18510.0,730.0,48900.0,91600.0,613081.608,27.0,51490.0,489300.0,,151500.0,5243228.444,417450.0,1350.0,255500.0,105400.0,18330.0,196000.0,11780.0,66560.0,,1400.0,42780.0,26760.0,16810.0,220.0,25150.0,77850.0,33380.0,13611.0,2108.5,75320.0,8900.0,12240.0,306054.0,964.93,3660.0,22220.0,297133.0,430.0,20720.59,5400.0,30030.0,170340.0,130715.58,,84380.0,2401.0,130.0,200.0,48241.5,140800.0,6715.65,11252.21,16700.0,29360.0,70.0,58650.0,18890.0,1804870.0,477000.0,638230.0,84900.0,44100.0,442.0,5610.0,155020.0,4790.0,47930.0,10220.0,2144856.0,268390.0,340.0,25500.0,19450.0,,1510.0,107760.0,18410.0,15810.0,5980.0,23340.0,14396.2,154500.0,69.0,28960.0,1280.0,,408430.0,48300.0,69470.0,100.0,392740.0,100.0,120.0,397120.0,1020.0,1065500.0,225.0,25390.0,,1301295.0,5150.0,303700.0,376715.86,109390.0,388200.0,4.0,42590.0,19227.0,2480.0,154180.0,51750.0,380000.0,663472.66,12420.0,30.0,10470.0,11736.0,369720.0,43.0,22404.0,10100.0,151851.4,233782.0,111840.0,177880.0,38538.2,2347.0,663.0,147980.0,2168610.0,17490.0,480.0,10.0,510.0,1737910.0,87990.0,35370.0,40.0,30015.2,12.0,,22550.0,5100.0,770.0,440710.0,980130.0,,295200.0,23510.0,93.0,139.0,,70.0,1320930.0,860.0,30539.0,15626.0,137230.0,45730.0,341000.0,198280.0,3366.0,34200.0,300.0,600.0,94990.0,409680.0,355000.0,10.0,17.0,126120.0,413850.0,5620.0,169530.0,4149440.0,149620.0,273250.0,1770.0,216380.0,94830.0,70.0,4960.0,235950.0,225550.0,152400.0
2002,377530.0,11400.0,398550.0,58.7,228.5,480715.12,90.0,1287100.0,13910.0,20.0,4470000.0,29022.0,47449.0,130.0,92.0,93530.0,170.0,90250.0,13891.0,1520.0,33650.0,4.0,5800.0,373110.0,21230.0,258460.0,2285309.0,70.0,110.0,53250.0,107700.0,18340.0,740.0,50000.0,91600.0,620910.0,27.0,51490.0,487300.0,,155650.0,5249146.889,416070.0,1350.0,255500.0,105400.0,18260.0,196000.0,11810.0,66540.0,,1400.0,36520.6,26650.0,17010.0,220.0,25150.0,74900.0,34240.0,13420.0,2088.5,75320.0,6982.0,12240.0,304980.0,965.39,3602.0,22360.0,296107.0,450.0,20771.18,5170.0,30040.0,169670.0,130375.26,,83430.0,2404.0,130.0,200.0,48865.8,140910.0,6800.1,11296.62,16700.0,30280.0,70.0,58490.0,18870.0,1805600.0,481810.0,640440.0,88400.0,43730.0,454.0,5630.0,152730.0,4740.0,47630.0,10250.0,2134689.0,268180.0,340.0,25500.0,19190.0,,1510.0,107760.0,18760.0,15950.0,6160.0,23040.0,14698.8,154500.0,67.7,28850.0,1280.0,,408430.0,48300.0,70375.0,120.0,396840.0,100.0,120.0,396620.0,1000.0,1065500.0,225.0,25340.0,,1301180.0,5150.0,302830.0,378931.72,109250.0,388200.0,4.0,42410.0,19401.0,2500.0,120990.0,52780.0,380000.0,665105.72,13340.0,30.0,10460.0,12734.0,368840.0,43.0,22378.0,10000.0,152931.4,235251.0,111350.0,168990.0,38777.2,2220.0,657.0,148180.0,2166510.0,18310.0,470.0,10.0,510.0,1737930.0,87500.0,35370.0,40.0,32300.8,12.0,,22370.0,5050.0,790.0,442260.0,980280.0,,294190.0,23560.0,81.0,131.0,,70.0,1326140.0,740.0,31399.0,15595.0,137590.0,45710.0,342000.0,196890.0,3362.0,34400.0,300.0,600.0,97630.0,411960.0,353500.0,10.0,17.0,128120.0,413960.0,5660.0,169760.0,4130640.0,149230.0,270460.0,1780.0,215400.0,94550.0,60.0,4970.0,236560.0,226160.0,154700.0
2003,379100.0,11210.0,399057.0,58.04,228.6,486265.73,90.0,1291033.0,14440.0,20.0,4395000.0,28852.3,47546.0,130.0,89.0,93280.0,170.0,89860.0,13922.0,1520.0,34670.0,4.0,5830.0,366470.0,21690.0,257960.0,2286346.0,70.0,110.0,53260.0,111700.0,18330.0,740.0,51000.0,91600.0,619460.0,27.0,51950.0,488300.0,,154250.0,5255055.333,420510.0,1350.0,255500.0,105400.0,18290.0,196000.0,11960.0,66380.0,,1540.0,36684.2,26580.0,17010.0,220.0,24350.0,72500.0,34090.0,13279.0,2068.5,75670.0,8287.0,12240.0,316070.0,965.39,3544.0,22460.0,295346.0,450.0,20821.77,5070.0,30060.0,170010.0,129204.94,,82520.0,2407.0,120.0,200.0,49490.0,141120.0,6884.55,11341.03,16700.0,31530.0,70.0,58650.0,18850.0,1802490.0,510060.0,642650.0,86900.0,43700.0,457.7,5510.0,149070.0,4740.0,47360.0,10050.0,2130014.0,268740.0,340.0,25500.0,19020.0,,1510.0,108400.0,19110.0,15820.0,6270.0,23040.0,15001.4,154500.0,66.4,25410.0,1280.0,,408430.0,49800.0,71162.4,120.0,407260.0,104.0,120.0,396620.0,990.0,1065500.0,225.0,25280.0,,1142714.0,5150.0,308760.0,381147.58,109820.0,388200.0,4.0,42270.0,19137.0,2436.0,118580.0,53360.0,384120.0,666738.78,13010.0,30.0,10400.0,13730.0,368420.0,43.0,22352.0,10050.0,153651.4,236720.0,112400.0,161690.0,38136.8,2156.0,662.0,148000.0,2162770.0,18040.0,450.0,10.0,530.0,1737980.0,86320.0,35370.0,40.0,35666.7,8.0,,22360.0,5100.0,830.0,442760.0,979280.0,,291530.0,23700.0,81.0,124.0,,70.0,1345300.0,805.0,31287.0,15562.0,138130.0,45960.0,342700.0,195540.0,3338.0,34600.0,300.0,600.0,97840.0,406440.0,351900.0,10.0,17.0,131120.0,413550.0,5540.0,169560.0,4130223.0,149270.0,268650.0,1800.0,215400.0,95370.0,60.0,4940.0,234950.0,229090.0,156500.0
2004,379110.0,11220.0,411450.0,57.0,228.1,491816.34,90.0,1294966.0,15050.0,20.0,3949060.0,28674.0,47549.0,130.0,87.0,93230.0,160.0,89570.0,13913.0,1520.0,34670.0,4.0,5840.0,366170.0,21694.0,258270.0,2287383.0,70.0,110.0,53300.0,106700.0,18480.0,750.0,52300.0,92100.0,618010.0,27.0,52150.0,488300.0,,159350.0,5260913.778,423910.0,1350.0,255500.0,105450.0,18220.0,200000.0,11760.0,65280.0,,1560.0,36313.9,26460.0,17010.0,220.0,24170.0,75270.0,34780.0,13488.0,2048.5,75000.0,7704.0,12240.0,331010.0,965.39,3486.0,22530.0,294584.0,450.0,20872.36,5150.0,24920.0,170130.0,127424.62,,80800.0,2410.0,120.0,200.0,47230.0,141230.0,6969.0,11385.44,16700.0,31400.0,70.0,58640.0,18840.0,1803750.0,533660.0,644860.0,86900.0,43050.0,458.0,5135.0,148830.0,4720.0,47140.0,10370.0,2126705.0,269920.0,340.0,25500.0,18930.0,,1500.0,107700.0,19460.0,16420.0,6383.0,23140.0,15304.0,153850.0,65.1,26043.0,1280.0,,408430.0,49800.0,71317.0,110.0,397910.0,100.0,130.0,396610.0,980.0,1065700.0,225.0,25220.0,,1141527.0,5150.0,300410.0,383363.44,110820.0,388200.0,4.0,42180.0,19494.0,2366.0,118900.0,52370.0,384720.0,668371.84,12620.0,30.0,10400.0,14720.0,360450.0,43.0,22326.0,10200.0,154551.4,238189.0,114700.0,163270.0,38696.1,2090.0,652.0,141300.0,2159800.0,18158.8,430.0,10.0,490.0,1737090.0,86870.0,35370.0,40.0,37727.3,8.0,,19340.0,4920.0,830.0,443770.0,976080.0,,290710.0,23100.0,80.3,111.0,,70.0,1344970.0,775.0,31532.0,15532.0,139050.0,46500.0,347571.0,195550.0,3334.0,34800.0,300.0,550.0,98300.0,412100.0,350500.0,10.0,17.0,132620.0,413540.0,5540.0,170510.0,4129809.0,148290.0,266840.0,1810.0,215900.0,97956.0,60.0,4940.0,235570.0,228970.0,160000.0
