date,Afghanistan,Albania,Algeria,American Samoa,Andorra,Angola,Antigua and Barbuda,Argentina,Armenia,Aruba,Australia,Austria,Azerbaijan,"Bahamas, The",Bahrain,Bangladesh,Barbados,Belarus,Belgium,Belize,Benin,Bermuda,Bhutan,Bolivia,Bosnia and Herzegovina,Botswana,Brazil,British Virgin Islands,Brunei Darussalam,Bulgaria,Burkina Faso,Burundi,Cabo Verde,Cambodia,Cameroon,Canada,Cayman Islands,Central African Republic,Chad,Channel Islands,Chile,China,Colombia,Comoros,"Congo, Dem. Rep.","Congo, Rep.",Costa Rica,Cote d'Ivoire,Croatia,Cuba,Curacao,Cyprus,Czechia,Denmark,Djibouti,Dominica,Dominican Republic,Ecuador,"Egypt, Arab Rep.",El Salvador,Equatorial Guinea,Eritrea,Estonia,Eswatini,Ethiopia,Faroe Islands,Fiji,Finland,France,French Polynesia,Gabon,"Gambia, The",Georgia,Germany,Ghana,Gibraltar,Greece,Greenland,Grenada,Guam,Guatemala,Guinea,Guinea-Bissau,Guyana,Haiti,Honduras,"Hong Kong SAR, China",Hungary,Iceland,India,Indonesia,"Iran, Islamic Rep.",Iraq,Ireland,Isle of Man,Israel,Italy,Jamaica,Japan,Jordan,Kazakhstan,Kenya,Kiribati,"Korea, Dem. People's Rep.","Korea, Rep.",Kosovo,Kuwait,Kyrgyz Republic,Lao PDR,Latvia,Lebanon,Lesotho,Liberia,Libya,Liechtenstein,Lithuania,Luxembourg,"Macao SAR, China",Madagascar,Malawi,Malaysia,Maldives,Mali,Malta,Marshall Islands,Mauritania,Mauritius,Mexico,"Micronesia, Fed. Sts.",Moldova,Monaco,Mongolia,Montenegro,Morocco,Mozambique,Myanmar,Namibia,Nauru,Nepal,Netherlands,New Caledonia,New Zealand,Nicaragua,Niger,Nigeria,North Macedonia,Northern Mariana Islands,Norway,Oman,Pakistan,Palau,Panama,Papua New Guinea,Paraguay,Peru,Philippines,Poland,Portugal,Puerto Rico,Qatar,Romania,Russian Federation,Rwanda,Samoa,San Marino,Sao Tome and Principe,Saudi Arabia,Senegal,Serbia,Seychelles,Sierra Leone,Singapore,Sint Maarten (Dutch part),Slovak Republic,Slovenia,Solomon Islands,Somalia,South Africa,South Sudan,Spain,Sri Lanka,St. Kitts and Nevis,St. Lucia,St. Martin (French part),St. Vincent and the Grenadines,Sudan,Suriname,Sweden,Switzerland,Syrian Arab Republic,Tajikistan,Tanzania,Thailand,Timor-Leste,Togo,Tonga,Trinidad and Tobago,Tunisia,Turkiye,Turkmenistan,Turks and Caicos Islands,Tuvalu,Uganda,Ukraine,United Arab Emirates,United Kingdom,United States,Uruguay,Uzbekistan,Vanuatu,"Venezuela, RB",Vietnam,Virgin Islands (U.S.),West Bank and Gaza,"Yemen, Rep.",Zambia,Zimbabwe
1995,16418912.0,3187784.0,28478022.0,53401.0,62928.0,13912253.0,68398.0,34946110.0,3322782.0,77050.0,18004882.0,7948278.0,7684850.0,299554.0,612934.0,117793338.0,262303.0,10193831.0,10136811.0,203556.0,6046511.0,59746.0,527536.0,7841471.0,3750527.0,1543634.0,163515328.0,17674.0,299097.0,8406067.0,10353263.0,5932783.0,411382.0,10919528.0,13211647.0,29302311.0,32802.0,3276706.0,6888856.0,142559.0,14416796.0,1204855000.0,35970101.0,483760.0,43285791.0,2742309.0,3572856.0,14299727.0,4620030.0,10926703.0,145139.0,862418.0,10327253.0,5233373.0,629619.0,69201.0,7869753.0,11561683.0,64166908.0,5748195.0,560740.0,2157220.0,1436634.0,953573.0,57476536.0,43805.0,792246.0,5107790.0,59543659.0,231446.0,1121964.0,1242155.0,4657722.0,81678051.0,17438874.0,27412.0,10562153.0,55800.0,104060.0,150094.0,10286786.0,7468347.0,1117222.0,751689.0,7627316.0,5812832.0,6156100.0,10328965.0,267468.0,964279129.0,198140162.0,60794809.0,20948858.0,3608841.0,71454.0,5545000.0,56844303.0,2509372.0,125472000.0,4458195.0,15816243.0,26878347.0,81481.0,22385536.0,45092991.0,2029000.0,1655222.0,4560400.0,4927432.0,2485056.0,3959640.0,1934079.0,2142422.0,4733063.0,30890.0,3629102.0,408625.0,396641.0,13869138.0,10112816.0,20136888.0,258208.0,9921094.0,377419.0,50702.0,2380341.0,1122457.0,89969572.0,110328.0,2953200.0,31482.0,2330334.0,611712.0,26599048.0,15594830.0,42880186.0,1605370.0,10316.0,22305571.0,15459006.0,193816.0,3673400.0,4721929.0,9813918.0,108187610.0,1983964.0,48717.0,4359184.0,2172672.0,133117476.0,17209.0,2716067.0,4616439.0,4603917.0,24449055.0,69250468.0,38594998.0,10026176.0,3683103.0,515133.0,22684270.0,148375787.0,5686897.0,174902.0,24886.0,133077.0,18888857.0,8632681.0,7625357.0,75304.0,4324149.0,3524506.0,31596.0,5361999.0,1989872.0,375189.0,7210930.0,43986084.0,5302042.0,39724050.0,18242917.0,42550.0,152348.0,29435.0,114174.0,23290602.0,434490.0,8826939.0,7040687.0,14313450.0,5916173.0,30560071.0,59424834.0,819226.0,4279566.0,99977.0,1307822.0,9294102.0,59305490.0,4226623.0,15101.0,9585.0,20680831.0,51512800.0,2433988.0,58019030.0,266278000.0,3208300.0,22785000.0,170612.0,22107286.0,73759110.0,107818.0,2474666.0,16103339.0,8684135.0,10994041.0
1996,17106595.0,3168033.0,28984634.0,54500.0,64147.0,14383350.0,69798.0,35389362.0,3298898.0,79417.0,18224767.0,7959017.0,7763000.0,304933.0,632756.0,119876868.0,262793.0,10159569.0,10156637.0,209840.0,6203860.0,60129.0,537494.0,7989367.0,3907751.0,1582169.0,166037122.0,18120.0,306196.0,8362826.0,10621210.0,5930507.0,421007.0,11182612.0,13575324.0,29610218.0,34194.0,3363570.0,7200291.0,142898.0,14615483.0,1217550000.0,36632573.0,494288.0,44118709.0,2816595.0,3656234.0,14810946.0,4557097.0,10963031.0,146306.0,880058.0,10315241.0,5263074.0,644649.0,69166.0,8012314.0,11775221.0,65565195.0,5797140.0,582573.0,2264073.0,1415594.0,973587.0,59347649.0,44138.0,796538.0,5124573.0,59756533.0,235189.0,1150601.0,1279070.0,4491699.0,81914831.0,17844010.0,27491.0,10608800.0,55900.0,104846.0,152261.0,10536942.0,7683115.0,1140604.0,753571.0,7770593.0,5976550.0,6435500.0,10311238.0,268916.0,983281218.0,201373791.0,61598378.0,21639332.0,3637510.0,71981.0,5692000.0,56860281.0,2532894.0,125757000.0,4608676.0,15578227.0,27615736.0,82832.0,22614347.0,45524681.0,2059000.0,1703318.0,4628400.0,5043914.0,2457222.0,4034243.0,1955098.0,2203966.0,4820066.0,31337.0,3601613.0,414225.0,404297.0,14317454.0,10310528.0,20689051.0,263841.0,10131906.0,379905.0,51538.0,2428816.0,1133996.0,91586555.0,110785.0,2947293.0,31719.0,2357033.0,611003.0,26999093.0,16079553.0,43423369.0,1650066.0,10345.0,22783969.0,15530498.0,197564.0,3732000.0,4812391.0,10149937.0,110956183.0,1994226.0,53367.0,4381336.0,2209958.0,137234810.0,17732.0,2771606.0,4785895.0,4711655.0,24907304.0,70944969.0,38624370.0,10063945.0,3724655.0,529265.0,22619004.0,148160129.0,6715510.0,176713.0,25235.0,135412.0,19410280.0,8843423.0,7617794.0,76417.0,4347370.0,3670704.0,31410.0,5373361.0,1988628.0,386069.0,7472450.0,44661603.0,5434894.0,39889852.0,18367290.0,43097.0,153969.0,29407.0,114290.0,23862258.0,443834.0,8840998.0,7071850.0,14708879.0,6035600.0,31140733.0,60211096.0,831269.0,4445883.0,100195.0,1313434.0,9430550.0,60293786.0,4301093.0,15806.0,9611.0,21249572.0,51057800.0,2572735.0,58166950.0,269394000.0,3226633.0,23225000.0,174714.0,22572110.0,74946448.0,108095.0,2587997.0,16614326.0,8902019.0,11178171.0
1997,17788819.0,3148281.0,29476031.0,55578.0,64682.0,14871146.0,71218.0,35815971.0,3271418.0,81858.0,18423037.0,7968041.0,7838250.0,310171.0,652643.0,122039226.0,263224.0,10117433.0,10181245.0,217117.0,6387026.0,60497.0,546865.0,8137619.0,4047748.0,1619354.0,168546707.0,18591.0,313215.0,8312068.0,10897353.0,5923862.0,430654.0,11431569.0,13941181.0,29905948.0,35579.0,3458472.0,7450874.0,143549.0,14809289.0,1230075000.0,37291946.0,505033.0,44822198.0,2875037.0,3739421.0,15335453.0,4534920.0,10998129.0,146956.0,897471.0,10304131.0,5284991.0,667786.0,69081.0,8150076.0,11987838.0,66993728.0,5842638.0,605570.0,2291561.0,1399535.0,990734.0,61233480.0,44495.0,804572.0,5139835.0,59969944.0,239036.0,1179806.0,1317002.0,4349913.0,82034771.0,18268040.0,27564.0,10661259.0,56000.0,105549.0,154330.0,10788362.0,7842806.0,1162443.0,755211.0,7915172.0,6144112.0,6489300.0,10290486.0,271128.0,1002335230.0,204628007.0,62480533.0,22330770.0,3674171.0,72793.0,5836000.0,56890372.0,2554954.0,126057000.0,4733665.0,15334405.0,28364264.0,84308.0,22827373.0,45953580.0,2086000.0,1761468.0,4696400.0,5150538.0,2432851.0,4107551.0,1972579.0,2383300.0,4902346.0,31770.0,3575137.0,419450.0,411700.0,14778903.0,10512678.0,21249178.0,269040.0,10359301.0,382791.0,52358.0,2484278.0,1148284.0,93183094.0,111133.0,2936413.0,31968.0,2381771.0,609520.0,27397118.0,16521724.0,43972046.0,1693242.0,10363.0,23249417.0,15610650.0,201418.0,3781300.0,4895962.0,10494201.0,113791181.0,1996869.0,60817.0,4405157.0,2245588.0,141330267.0,18297.0,2827992.0,4960439.0,4818289.0,25365386.0,72718837.0,38649660.0,10108977.0,3759430.0,550591.0,22553978.0,147915361.0,7666732.0,178543.0,25596.0,137656.0,19938377.0,9051539.0,7596501.0,77319.0,4405028.0,3796038.0,31195.0,5383291.0,1985956.0,397050.0,7734313.0,45285048.0,5589410.0,40057389.0,18470897.0,43656.0,155454.0,29299.0,114276.0,24454372.0,452887.0,8846062.0,7088906.0,15103996.0,6117069.0,31785846.0,60989108.0,843341.0,4592550.0,100658.0,1318171.0,9557948.0,61277426.0,4363672.0,16515.0,9630.0,21876935.0,50594600.0,2746119.0,58316954.0,272657000.0,3245069.0,23667000.0,178871.0,23037561.0,76058603.0,108357.0,2706518.0,17108681.0,9133156.0,11362401.0
1998,18493132.0,3128530.0,29924668.0,56603.0,65186.0,15366864.0,72572.0,36233195.0,3240550.0,84355.0,18607584.0,7976789.0,7913000.0,315398.0,672484.0,124350471.0,263642.0,10071963.0,10203008.0,224907.0,6584183.0,60943.0,557143.0,8286928.0,4115059.0,1655699.0,171039804.0,19079.0,320152.0,8256786.0,11201063.0,6035340.0,440214.0,11669077.0,14314599.0,30155173.0,36947.0,3555064.0,7709115.0,144211.0,14996742.0,1241935000.0,37944414.0,515959.0,45895524.0,2937166.0,3821421.0,15858990.0,4532135.0,11033758.0,144472.0,914660.0,10294373.0,5304219.0,694920.0,68938.0,8282126.0,12199693.0,68446011.0,5885083.0,629734.0,2322753.0,1386156.0,1005158.0,63136493.0,44865.0,813947.0,5153498.0,60192790.0,242882.0,1209832.0,1356189.0,4243607.0,82047195.0,18714708.0,27636.0,10720509.0,56100.0,106200.0,156357.0,11046215.0,7992545.0,1184071.0,756697.0,8060896.0,6308537.0,6543700.0,10266570.0,274047.0,1021434576.0,207855486.0,63461421.0,23053488.0,3712696.0,73727.0,5971000.0,56906744.0,2576567.0,126400000.0,4844403.0,15071640.0,29137373.0,85805.0,23023636.0,46286503.0,1966000.0,1819544.0,4769000.0,5246922.0,2410019.0,4178784.0,1985639.0,2639224.0,4980962.0,32190.0,3549331.0,424700.0,418776.0,15250934.0,10732456.0,21810542.0,273796.0,10620475.0,385287.0,53164.0,2550501.0,1160421.0,94767284.0,111406.0,2935227.0,32209.0,2405148.0,607662.0,27791825.0,16923195.0,44516185.0,1735953.0,10377.0,23703328.0,15707209.0,205279.0,3815000.0,4974552.0,10854920.0,116690527.0,2007523.0,68501.0,4431464.0,2279727.0,145476106.0,18852.0,2885177.0,5138829.0,4923449.0,25818226.0,74491918.0,38663481.0,10160196.0,3781101.0,580997.0,22507344.0,147670784.0,7914645.0,180385.0,25997.0,139790.0,20472580.0,9261526.0,7567745.0,78846.0,4449975.0,3927213.0,31240.0,5390516.0,1981629.0,408145.0,8056862.0,45852166.0,5699436.0,40223509.0,18564595.0,44230.0,156855.0,29102.0,114165.0,25029144.0,461749.0,8850974.0,7110001.0,15500542.0,6156805.0,32626498.0,61745217.0,855409.0,4728297.0,101343.0,1322572.0,9677148.0,62242204.0,4431517.0,17239.0,9634.0,22537658.0,50144500.0,2921130.0,58487141.0,275854000.0,3262683.0,24051000.0,183088.0,23503819.0,77128424.0,108537.0,2776568.0,17608133.0,9372430.0,11548364.0
1999,19262847.0,3108778.0,30346083.0,57594.0,65655.0,15870753.0,73821.0,36653031.0,3206030.0,86867.0,18812264.0,7992324.0,7982750.0,320272.0,692133.0,126754824.0,264170.0,10026738.0,10226419.0,232733.0,6788589.0,61285.0,570990.0,8439052.0,4153014.0,1691558.0,173486281.0,19586.0,327045.0,8210624.0,11533554.0,6180180.0,449627.0,11899006.0,14698973.0,30401286.0,38295.0,3655360.0,7981889.0,144811.0,15176410.0,1252735000.0,38585033.0,526443.0,47227238.0,3016659.0,3901430.0,16345894.0,4512597.0,11070094.0,139428.0,931600.0,10283860.0,5321799.0,719371.0,68698.0,8411374.0,12412046.0,69907887.0,5923852.0,655029.0,2356477.0,1390244.0,1018370.0,65077579.0,45203.0,823422.0,5165474.0,60504420.0,246821.0,1240764.0,1396499.0,4157192.0,82100243.0,19176791.0,27695.0,10761698.0,56100.0,106823.0,158395.0,11311078.0,8174897.0,1206474.0,758014.0,8208941.0,6477365.0,6606500.0,10237530.0,277381.0,1040500054.0,210996910.0,64474745.0,23820734.0,3754786.0,74668.0,6125000.0,56916317.0,2596271.0,126631000.0,4950775.0,14928374.0,29965129.0,87289.0,23204498.0,46616677.0,1762000.0,1877427.0,4840400.0,5340056.0,2390482.0,4250020.0,1994243.0,2789743.0,5057998.0,32615.0,3524238.0,430475.0,425518.0,15730885.0,10973956.0,22368655.0,278111.0,10916993.0,387578.0,53834.0,2620611.0,1175267.0,96334810.0,111539.0,2930622.0,32394.0,2428488.0,606001.0,28176997.0,17337893.0,45041636.0,1778277.0,10383.0,24143157.0,15812088.0,209214.0,3835100.0,5049878.0,11231469.0,119695565.0,2017142.0,76237.0,4461913.0,2312600.0,149694462.0,19380.0,2943120.0,5321388.0,5026031.0,26252239.0,76249064.0,38660271.0,10217828.0,3800081.0,613302.0,22472040.0,147214776.0,8009587.0,182211.0,26404.0,141808.0,21009660.0,9478564.0,7540401.0,80410.0,4475145.0,3958723.0,31084.0,5396020.0,1983045.0,419229.0,8384479.0,46364681.0,5850145.0,40386875.0,18663293.0,44825.0,158256.0,29099.0,113995.0,25634162.0,470458.0,8857874.0,7143991.0,15901201.0,6189565.0,33499772.0,62442651.0,866649.0,4867941.0,101982.0,1327063.0,9788067.0,63185615.0,4501079.0,17984.0,9640.0,23279247.0,49674000.0,3097563.0,58682466.0,279040000.0,3278963.0,24311650.0,187432.0,23966960.0,78123713.0,108599.0,2848431.0,18114552.0,9621238.0,11716454.0
2000,19542982.0,3089027.0,30774621.0,58230.0,66097.0,16394062.0,75055.0,37070774.0,3168523.0,89101.0,19028802.0,8011566.0,8048600.0,325014.0,711442.0,129193327.0,264657.0,9979610.0,10251250.0,240406.0,6998023.0,61833.0,587207.0,8592656.0,4179350.0,1726985.0,175873720.0,20104.0,333926.0,8170172.0,11882888.0,6307659.0,458251.0,12118841.0,15091594.0,30685730.0,39658.0,3759170.0,8259137.0,145306.0,15351799.0,1262645000.0,39215135.0,536758.0,48616317.0,3134030.0,3979193.0,16799670.0,4468302.0,11105791.0,133860.0,948237.0,10255063.0,5339616.0,742033.0,68346.0,8540791.0,12626507.0,71371371.0,5958482.0,684977.0,2392880.0,1396985.0,1030496.0,67031867.0,45660.0,832509.0,5176209.0,60921384.0,250927.0,1272935.0,1437539.0,4077131.0,82211508.0,19665502.0,27741.0,10805808.0,56200.0,107432.0,160188.0,11589761.0,8336967.0,1230849.0,759051.0,8360225.0,6656725.0,6665000.0,10210971.0,281205.0,1059633675.0,214072421.0,65544383.0,24628858.0,3805174.0,75562.0,6289000.0,56942108.0,2612205.0,126843000.0,5056174.0,14883626.0,30851606.0,88826.0,23367059.0,47008111.0,1700000.0,1934901.0,4898400.0,5430853.0,2367550.0,4320642.0,1998630.0,2895224.0,5154790.0,33026.0,3499536.0,436300.0,431896.0,16216431.0,11229387.0,22945150.0,282507.0,11239101.0,390087.0,54224.0,2695003.0,1186873.0,97873442.0,111709.0,2924668.0,32465.0,2450979.0,604950.0,28554415.0,17768505.0,45538332.0,1819141.0,10377.0,24559500.0,15925513.0,213230.0,3857700.0,5123222.0,11622665.0,122851984.0,2026350.0,80338.0,4490967.0,2344253.0,154369924.0,19726.0,3001731.0,5508297.0,5123819.0,26654439.0,77958223.0,38258629.0,10289898.0,3810605.0,645937.0,22442971.0,146596869.0,8109989.0,184008.0,26823.0,143714.0,21547390.0,9704287.0,7516346.0,81131.0,4584067.0,4027887.0,30519.0,5388720.0,1988925.0,429978.0,8721465.0,46813266.0,6114440.0,40567864.0,18777606.0,45461.0,159500.0,29610.0,113813.0,26298773.0,478998.0,8872109.0,7184250.0,16307654.0,6272998.0,34463704.0,63066603.0,878360.0,5008035.0,102603.0,1332203.0,9893316.0,64113547.0,4569132.0,18744.0,9638.0,24020697.0,49176500.0,3275333.0,58892514.0,282162411.0,3292224.0,24650400.0,192074.0,24427729.0,79001142.0,108642.0,2922153.0,18628700.0,9891136.0,11834676.0
2001,19688632.0,3060173.0,31200985.0,58324.0,67820.0,16941587.0,76215.0,37480493.0,3133133.0,90691.0,19274701.0,8042293.0,8111200.0,329626.0,730257.0,131670484.0,265377.0,9928549.0,10286570.0,248100.0,7212041.0,62504.0,603234.0,8746084.0,4194932.0,1761930.0,178211881.0,20657.0,340748.0,8009142.0,12249764.0,6465729.0,465958.0,12338192.0,15493253.0,31020902.0,41054.0,3844773.0,8538804.0,146044.0,15523978.0,1271850000.0,39837875.0,547741.0,50106657.0,3254101.0,4053222.0,17245468.0,4299642.0,11139127.0,129047.0,964830.0,10216605.0,5358783.0,765490.0,68153.0,8669040.0,12845521.0,72854261.0,5988095.0,719270.0,2461927.0,1388115.0,1041396.0,69018932.0,46245.0,841320.0,5188008.0,61367388.0,255049.0,1306590.0,1479449.0,4014373.0,82349925.0,20195577.0,27721.0,10862132.0,56350.0,107936.0,161524.0,11871565.0,8445717.0,1257380.0,759809.0,8511728.0,6837861.0,6714300.0,10187576.0,284968.0,1078970907.0,217112437.0,66674851.0,25425663.0,3866243.0,76398.0,6439000.0,56974100.0,2625405.0,127149000.0,5163310.0,14858335.0,31800343.0,90531.0,23512522.0,47370164.0,1701154.0,1991674.0,4945100.0,5519707.0,2337170.0,4389200.0,1999473.0,2981648.0,5275916.0,33376.0,3470818.0,441525.0,439122.0,16709665.0,11498818.0,23542517.0,287324.0,11583824.0,393028.0,54413.0,2761823.0,1196287.0,99394288.0,111948.0,2918135.0,32444.0,2472601.0,607389.0,28930097.0,18220716.0,46014826.0,1856402.0,10363.0,24956071.0,16046180.0,217324.0,3880500.0,5192764.0,12031430.0,126152678.0,2034882.0,79479.0,4513751.0,2374653.0,159217727.0,19828.0,3061024.0,5698489.0,5211541.0,27014909.0,79626086.0,38248076.0,10362722.0,3818774.0,678831.0,22131970.0,145976482.0,8223941.0,185530.0,27335.0,146258.0,22085929.0,9938027.0,7503433.0,81202.0,4857096.0,4138012.0,30600.0,5378867.0,1992060.0,440395.0,9070747.0,47229714.0,6394431.0,40850412.0,18911727.0,45986.0,160594.0,30387.0,113641.0,26947253.0,487394.0,8895960.0,7229854.0,16727948.0,6408810.0,35414469.0,63649892.0,893001.0,5145426.0,103210.0,1338567.0,9995123.0,65072018.0,4635094.0,19578.0,9621.0,24763325.0,48662400.0,3454198.0,59119673.0,284968955.0,3300939.0,24964450.0,197034.0,24880203.0,79817777.0,108549.0,2997784.0,19143457.0,10191964.0,11910978.0
2002,21000256.0,3051010.0,31624696.0,58177.0,70849.0,17516139.0,77195.0,37885028.0,3105037.0,91781.0,19495210.0,8081957.0,8171950.0,334002.0,748324.0,134139826.0,266455.0,9865548.0,10332785.0,255987.0,7431783.0,62912.0,619048.0,8900583.0,4198410.0,1795130.0,180476685.0,21288.0,347463.0,7837161.0,12632269.0,6648938.0,473231.0,12561779.0,15914033.0,31360079.0,42456.0,3930648.0,8838369.0,147167.0,15693790.0,1280400000.0,40454050.0,559047.0,51662071.0,3331158.0,4122623.0,17683897.0,4302174.0,11170051.0,129205.0,982194.0,10196916.0,5375931.0,789129.0,68262.0,8795101.0,13070609.0,74393759.0,6011275.0,754115.0,2547424.0,1379350.0,1050809.0,71073215.0,46813.0,849891.0,5200598.0,61816234.0,259137.0,1341696.0,1522223.0,3978515.0,82488495.0,20758326.0,27892.0,10902022.0,56609.0,108231.0,162563.0,12147518.0,8577790.0,1285678.0,760323.0,8661546.0,7019908.0,6744100.0,10158608.0,287523.0,1098313039.0,220115092.0,67327117.0,26255343.0,3931947.0,77183.0,6570000.0,57059007.0,2638244.0,127445000.0,5275532.0,14858948.0,32779823.0,92400.0,23638411.0,47644736.0,1702310.0,2047364.0,4990700.0,5606101.0,2310173.0,4446666.0,1997534.0,3060599.0,5405326.0,33693.0,3443067.0,446175.0,449665.0,17211934.0,11784498.0,24142445.0,292284.0,11952660.0,395969.0,54496.0,2821703.0,1204621.0,100917081.0,111992.0,2911385.0,32386.0,2494617.0,609828.0,29301817.0,18694946.0,46480230.0,1888525.0,10351.0,25332178.0,16148929.0,221490.0,3948500.0,5259006.0,12456517.0,129583026.0,2020157.0,77162.0,4538159.0,2403659.0,163262807.0,19851.0,3120990.0,5892596.0,5286512.0,27334503.0,81285572.0,38230364.0,10419631.0,3823701.0,713186.0,21730496.0,145306497.0,8372306.0,186630.0,27969.0,149841.0,22623415.0,10180950.0,7496522.0,83723.0,5140113.0,4175950.0,30777.0,5376912.0,1994530.0,450760.0,9411103.0,47661514.0,6686100.0,41431558.0,19062476.0,46264.0,161799.0,31160.0,113450.0,27570318.0,495666.0,8924958.0,7284753.0,17164021.0,6541755.0,36353531.0,64222580.0,909639.0,5281538.0,103804.0,1345964.0,10094561.0,65988663.0,4698968.0,20598.0,9609.0,25545090.0,48202470.0,3633655.0,59370479.0,287625193.0,3306441.0,25271850.0,202125.0,25330929.0,80642308.0,108509.0,3075373.0,19660653.0,10508294.0,11984644.0
2003,22645130.0,3039616.0,32055883.0,57941.0,73907.0,18124342.0,78075.0,38278164.0,3084102.0,92701.0,19720737.0,8121423.0,8234100.0,338490.0,778256.0,136503206.0,267499.0,9796749.0,10376133.0,263998.0,7659208.0,63325.0,634627.0,9057378.0,4183757.0,1826863.0,182629278.0,21982.0,354045.0,7775327.0,13030591.0,6860846.0,480089.0,12787710.0,16354326.0,31644028.0,43862.0,4026841.0,9196366.0,148341.0,15859112.0,1288400000.0,41057687.0,570130.0,53205639.0,3424653.0,4188610.0,18116451.0,4303399.0,11199217.0,131897.0,1000350.0,10193998.0,5390574.0,806411.0,68442.0,8919852.0,13301184.0,75963322.0,6026849.0,789681.0,2653390.0,1370720.0,1058797.0,73168838.0,47392.0,858306.0,5213014.0,62256970.0,263173.0,1378398.0,1566257.0,3951736.0,82534176.0,21329514.0,28301.0,10928070.0,56765.0,108740.0,163385.0,12415334.0,8772254.0,1315653.0,760562.0,8812245.0,7201881.0,6730800.0,10129552.0,289521.0,1117415123.0,223080121.0,67954699.0,27068823.0,3996521.0,77939.0,6689700.0,57313203.0,2651027.0,127718000.0,5396117.0,14909019.0,33767122.0,94302.0,23781707.0,47892330.0,1703466.0,2101506.0,5043300.0,5689065.0,2287955.0,4504807.0,1993030.0,3085173.0,5542641.0,34000.0,3415213.0,451630.0,462533.0,17724310.0,12087965.0,24739411.0,297226.0,12342165.0,398582.0,54493.0,2883326.0,1213370.0,102429341.0,111805.0,2903198.0,32316.0,2516454.0,612267.0,29661270.0,19186754.0,46924293.0,1915425.0,10344.0,25682908.0,16225302.0,225296.0,4027200.0,5323062.0,12900790.0,133119801.0,2026773.0,74623.0,4564855.0,2431600.0,166876680.0,19880.0,3181608.0,6090980.0,5353254.0,27623341.0,82942837.0,38204570.0,10458821.0,3826095.0,748525.0,21574326.0,144648618.0,8567992.0,187440.0,28601.0,153762.0,23150847.0,10434504.0,7480591.0,82781.0,5350907.0,4114826.0,31472.0,5373374.0,1995733.0,461216.0,9758281.0,48104048.0,6992367.0,42187645.0,19224036.0,46431.0,163047.0,31929.0,113108.0,28188977.0,503780.0,8958229.0,7339001.0,17611356.0,6672492.0,37333918.0,64776956.0,926721.0,5421001.0,104410.0,1353548.0,10193798.0,66867327.0,4758988.0,21739.0,9668.0,26354736.0,47812949.0,3813443.0,59647577.0,290107933.0,3310202.0,25567650.0,207258.0,25782029.0,81475825.0,108505.0,3154969.0,20188799.0,10837973.0,12075828.0
2004,23553551.0,3026939.0,32510186.0,57626.0,76933.0,18771125.0,78941.0,38668796.0,3065745.0,93540.0,19932722.0,8171966.0,8306500.0,343089.0,833451.0,138789725.0,268505.0,9730146.0,10421137.0,272128.0,7894554.0,63740.0,649991.0,9216279.0,4142860.0,1859085.0,184722043.0,22715.0,360461.0,7716860.0,13445977.0,7120496.0,486583.0,13016371.0,16809407.0,31940655.0,45286.0,4115138.0,9613503.0,149538.0,16017966.0,1296075000.0,41648268.0,581154.0,54815607.0,3543012.0,4252800.0,18544903.0,4304600.0,11225294.0,134192.0,1018684.0,10197101.0,5404523.0,818373.0,68574.0,9043127.0,13534593.0,77522427.0,6035655.0,826355.0,2763140.0,1362550.0,1065764.0,75301026.0,47989.0,866694.0,5228172.0,62716306.0,267132.0,1417110.0,1612225.0,3927340.0,82516260.0,21906444.0,28716.0,10955141.0,56911.0,109516.0,164004.0,12682108.0,8961039.0,1347009.0,760424.0,8961489.0,7383407.0,6783500.0,10107146.0,292074.0,1136264583.0,225938595.0,69061674.0,27858948.0,4070262.0,78677.0,6809000.0,57685327.0,2664024.0,127761000.0,5532423.0,15012984.0,34791836.0,96224.0,23948930.0,48082519.0,1704622.0,2153481.0,5104700.0,5768167.0,2263122.0,4574797.0,1985384.0,3122447.0,5687563.0,34300.0,3377075.0,458095.0,475529.0,18250774.0,12411342.0,25333247.0,302135.0,12751995.0,401268.0,54435.0,2946575.0,1221003.0,103945813.0,111438.0,2896023.0,32236.0,2537949.0,613353.0,30033125.0,19694411.0,47338446.0,1939406.0,10335.0,26003965.0,16281779.0,228750.0,4087500.0,5386223.0,13366885.0,136756848.0,2032544.0,71898.0,4591910.0,2468855.0,170648620.0,19907.0,3243311.0,6293166.0,5416324.0,27893911.0,84607501.0,38182222.0,10483861.0,3826878.0,777943.0,21451748.0,144067316.0,8791853.0,188073.0,29093.0,157697.0,23661808.0,10698691.0,7463157.0,82475.0,5533329.0,4166664.0,32488.0,5372280.0,1997012.0,471785.0,10117354.0,48556071.0,7317118.0,42921895.0,19387153.0,46580.0,164239.0,32697.0,112608.0,28831550.0,510572.0,8993531.0,7389625.0,18084007.0,6801204.0,38360879.0,65311166.0,945989.0,5565218.0,105036.0,1361172.0,10292225.0,67785075.0,4819792.0,22869.0,9791.0,27146084.0,47451626.0,3993339.0,59987905.0,292805298.0,3313801.0,25864350.0,212422.0,26226927.0,82311227.0,108466.0,3236626.0,20733406.0,11188040.0,12160881.0
