date,Afghanistan,Albania,Algeria,American Samoa,Andorra,Angola,Antigua and Barbuda,Argentina,Armenia,Aruba,Australia,Austria,Azerbaijan,"Bahamas, The",Bahrain,Bangladesh,Barbados,Belarus,Belgium,Belize,Benin,Bermuda,Bhutan,Bolivia,Bosnia and Herzegovina,Botswana,Brazil,British Virgin Islands,Brunei Darussalam,Bulgaria,Burkina Faso,Burundi,Cabo Verde,Cambodia,Cameroon,Canada,Cayman Islands,Central African Republic,Chad,Channel Islands,Chile,China,Colombia,Comoros,"Congo, Dem. Rep.","Congo, Rep.",Costa Rica,Cote d'Ivoire,Croatia,Cuba,Curacao,Cyprus,Czechia,Denmark,Djibouti,Dominica,Dominican Republic,Ecuador,"Egypt, Arab Rep.",El Salvador,Equatorial Guinea,Eritrea,Estonia,Eswatini,Ethiopia,Faroe Islands,Fiji,Finland,France,French Polynesia,Gabon,"Gambia, The",Georgia,Germany,Ghana,Gibraltar,Greece,Greenland,Grenada,Guam,Guatemala,Guinea,Guinea-Bissau,Guyana,Haiti,Honduras,"Hong Kong SAR, China",Hungary,Iceland,India,Indonesia,"Iran, Islamic Rep.",Iraq,Ireland,Isle of Man,Israel,Italy,Jamaica,Japan,Jordan,Kazakhstan,Kenya,Kiribati,"Korea, Dem. People's Rep.","Korea, Rep.",Kosovo,Kuwait,Kyrgyz Republic,Lao PDR,Latvia,Lebanon,Lesotho,Liberia,Libya,Liechtenstein,Lithuania,Luxembourg,"Macao SAR, China",Madagascar,Malawi,Malaysia,Maldives,Mali,Malta,Marshall Islands,Mauritania,Mauritius,Mexico,"Micronesia, Fed. Sts.",Moldova,Monaco,Mongolia,Montenegro,Morocco,Mozambique,Myanmar,Namibia,Nauru,Nepal,Netherlands,New Caledonia,New Zealand,Nicaragua,Niger,Nigeria,North Macedonia,Northern Mariana Islands,Norway,Oman,Pakistan,Palau,Panama,Papua New Guinea,Paraguay,Peru,Philippines,Poland,Portugal,Puerto Rico,Qatar,Romania,Russian Federation,Rwanda,Samoa,San Marino,Sao Tome and Principe,Saudi Arabia,Senegal,Serbia,Seychelles,Sierra Leone,Singapore,Sint Maarten (Dutch part),Slovak Republic,Slovenia,Solomon Islands,Somalia,South Africa,South Sudan,Spain,Sri Lanka,St. Kitts and Nevis,St. Lucia,St. Martin (French part),St. Vincent and the Grenadines,Sudan,Suriname,Sweden,Switzerland,Syrian Arab Republic,Tajikistan,Tanzania,Thailand,Timor-Leste,Togo,Tonga,Trinidad and Tobago,Tunisia,Turkiye,Turkmenistan,Turks and Caicos Islands,Tuvalu,Uganda,Ukraine,United Arab Emirates,United Kingdom,United States,Uruguay,Uzbekistan,Vanuatu,"Venezuela, RB",Vietnam,Virgin Islands (U.S.),West Bank and Gaza,"Yemen, Rep.",Zambia,Zimbabwe
1995,,,5.8,,,,,3.9,,,0.7,0.0,12.4,,,33.7,,,0.4,,,,,,,,14.7,,,,,,,,,,,,,,,,,,,,7.1,25.9,,,,,,0.0,,,,,3.0,13.3,,,,,69.2,,,0.0,,,,,,0.2,,,1.7,,,,,,,,,26.2,,,,,,,,0.2,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,2.5,,,,,21.8,,,,,,14.9,,,,,,,55.2,,,,,,,,,0.5,,,,15.5,,12.4,,,,,,,,,,,,,,,,,,,,,,,,,,1.2,11.8,,38.1,,,,,0.2,,,,,,,,,,9.5,,,,,,7.1,,0.2,0.5,,,,9.9,,,,,,
1996,,0.5,,,,,,4.2,,,,0.0,,,,,,,,18.2,,,,,,,16.0,,,,,,,,50.4,0.2,,,,,4.7,48.1,17.6,,,,8.2,,,,,,0.0,,,,6.5,,,15.3,,,,,,,,,0.2,,,,6.8,0.0,,,,,,,,,,,,28.6,,,,,51.3,,,0.2,,,,2.6,,,7.9,,,,,,,,,,,,,,,,,,,,,,,,,,,18.1,,,,,,,82.7,,,,,,,,,,58.4,,,,,22.3,,,52.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5,,,3.1,,,,,,,,,,64.9,7.2,,0.2,0.7,,,,,,,,,46.8,
1997,,,,,,,,3.8,,,,0.2,,,,,,,0.5,20.9,,,,15.5,,,16.0,,,,,,,,,0.2,,,,,,,,,,,6.7,,,,,,,,,,6.9,,,,,,,,,,,,0.2,,,,18.8,0.0,,,,,,,,,,,,19.6,,,,,,,,,,0.2,,,,0.4,,25.4,,,,,,,43.2,,,,,,,,0.0,,69.4,58.5,0.7,,,,,,,,,13.0,,,,,,,,,,,,,,,,,,,,,,14.2,,10.6,19.8,,,,,,,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,0.7,,,,,24.4,,,,,
1998,,,,,,,,4.0,,,,0.2,,,,,,21.8,,20.7,,,,,,,14.3,,,,79.9,79.4,,,,0.5,,,,,4.6,,,,,,5.2,30.4,,,,,,,,,,,,21.0,,,,,,,,,0.0,,,74.1,17.0,0.0,55.0,,,,,,14.0,,,11.9,,24.5,,,,,69.1,4.5,,,,,1.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.9,,24.0,,28.4,,8.4,,,,,,,,,25.8,,,,,,,29.8,,14.5,,,19.4,,,,,,,2.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.2,,,,,,,43.1,,,,,,0.2,0.7,,58.8,,10.4,,,,8.1,47.2,
1999,,,,,,,,4.2,11.9,,,0.2,,,,,,19.2,,19.6,,,,21.9,,,15.0,,,,,,,,,0.5,,,,,,46.0,21.4,,,,6.8,,,,,,,,,,,21.8,1.4,17.3,,,,,58.0,,,,0.0,,,,21.8,0.0,,,,,,,,,,,,24.9,,,,,46.0,,,,,,,2.3,,,,,,,,,,,,,,,,,,,,,66.9,,,,,,,,,,,33.5,,,,,,,,,,0.2,,,,,,,,,,,,12.3,,10.2,19.3,,,,,,,4.4,,,,,,,,,,,,,,,,,,,,,,,,,18.4,,,,62.0,,4.0,,,,,,,,,,68.7,,,0.2,0.7,,,,11.8,,,,,,
2000,,,,,,21.4,,5.0,,,,0.0,,,,33.3,,13.6,0.3,,,,,24.2,,,,,,,,,,,,0.2,,,,,5.8,,17.5,,,,6.9,,,,,,,0.0,,,6.7,28.4,,12.9,,,,56.1,,,,0.0,0.0,,,,22.9,0.0,,,0.5,,,,9.6,,,,,,,,,,43.6,,,0.2,,,1.2,,,,,,,,,,,38.2,,,,,,,,,0.0,,,,,,,,,21.5,,8.9,,31.1,,,,7.9,,,,,,,,,,,,,,0.2,,,,11.1,,,19.3,14.5,,,,,,3.0,75.2,,,20.4,,,,,,,,,,,,36.8,,0.5,,,,,,,,0.0,0.0,,,84.0,4.0,,,3.1,,4.4,,,,,,,,0.2,0.7,,81.3,,,,,,,,
2001,,,,,,,,8.2,14.0,,0.7,,6.2,,,,,6.6,,,,,,19.0,0.3,,13.0,,,,,,19.6,,25.7,0.2,,,,,,,21.0,,,,5.1,,,,,,,,,,5.1,,,14.1,,,,,,,,,0.0,,,,23.0,0.0,,,,,,,,,,,,19.8,,,,,39.9,,,,,0.2,,,,,12.8,,,,,,,33.4,,,,,,,,,,,71.0,,,,57.2,,,,,,,23.3,,,,,,,,,,,,,17.8,,,,,,,33.3,,14.1,,8.9,20.3,,,,,,,1.8,,,,,,52.4,,,,,,,,,,,,,,,,,,,,,,,,,,40.9,,,,,,,,,,,,0.2,0.7,,,,10.3,,,,,,
2002,,1.1,,,,,,12.4,10.0,,,,0.1,,,,,4.4,,,,,,19.7,,29.1,11.7,,,,,,,,,0.2,,,,,,36.5,14.2,,,,4.7,29.1,,,,,0.0,,22.5,,7.6,,,14.7,,,,,,,1.7,,0.0,,,,12.7,0.0,,,,,,,,53.2,53.2,,,22.0,,,,,26.8,,,0.2,,0.5,,2.1,,0.2,8.9,,,,,,,31.1,25.4,,,66.3,,,,,,,,,,6.6,,,,,,6.6,,13.6,,11.6,,,80.6,,,,,,,,,,,,,,,,,9.6,,13.2,17.5,,,,,,,1.0,,2.2,,,,,,,,,,,,,,,,,11.0,,,,,,,,0.0,,,,1.8,,,,,,2.1,,,,66.7,2.7,,0.2,0.7,,80.5,,16.4,29.9,,,,56.4,
2003,,,,,,,,5.3,7.5,,1.0,0.3,0.1,,,,,3.5,0.3,,53.1,,13.4,,,,12.6,,,,54.7,,,,,0.2,,,57.8,,5.3,,13.0,,,,4.7,,,,,,,0.3,,,8.7,14.9,,15.8,,,2.5,,,,,0.0,0.2,,,50.7,12.9,0.0,,,0.5,,,,,,,,,26.5,,,0.0,,26.4,,,0.1,,0.5,0.8,,,,6.2,,,,,2.4,,25.7,,,,,,,,,0.1,,,,1.6,,,,,,,,,5.6,,,,,,,35.9,,40.3,,,,,,47.9,,,0.2,,,,9.9,,8.3,14.7,13.6,,0.9,,,,1.1,,,,,,,,,61.3,,,,,,,,,0.8,,,,,,,,0.3,,1.1,36.7,,,,,,,,3.9,,,,,1.1,,0.2,1.0,,81.5,,19.7,,,,,,
2004,,,,,,,,3.8,5.3,,0.7,0.1,0.0,,,,,1.3,0.1,,,,,10.2,0.2,,11.1,,,,,,,,,0.2,,,,,,,12.0,14.6,91.5,,4.7,,,,,0.1,0.0,0.3,,,11.6,15.0,3.1,11.5,,,1.1,,34.6,,,0.0,0.0,,,,12.4,0.0,,,0.6,,,,,,,,,25.4,,0.1,0.2,39.9,27.0,,,0.1,,0.5,0.6,1.2,,,3.3,,,,,,,11.6,,2.5,,,,,,2.7,0.0,,,68.9,,,,,,18.1,,6.0,,6.6,,,,,,,,,,0.2,,,,,,,,0.3,,20.2,,8.8,,5.7,16.3,,2.2,0.5,,,,1.0,,,,,,,,,,,,0.1,0.0,,,,,0.8,,,,,,,,0.4,,,21.4,,1.2,,,,,,2.0,,,,,0.9,,0.2,1.0,,,,16.6,20.1,,0.6,,61.1,
